# time(s)	globalX	globalY	globalZ	magX	magY	magZ	gyroAngle	pitch	floorLabel
0.00	0.0760	0.1001	0.0457	19.69	-6.32	-41.66	45.00	-3.90	ground
0.02	0.2686	0.3709	0.4047	20.06	-3.61	-39.11	45.06	-1.69	ground
0.04	0.0820	0.3647	1.2054	18.76	-5.35	-40.06	45.05	-2.21	ground
0.06	0.6716	-0.1353	1.7103	18.61	-5.07	-40.60	45.07	-0.04	ground
0.08	0.4289	0.0582	1.6731	20.18	-4.72	-40.25	45.08	0.31	ground
0.10	-0.0923	-0.5592	2.0667	19.24	-6.30	-38.96	45.09	-3.21	ground
0.12	-0.0954	0.0297	2.4623	18.55	-4.59	-39.27	45.10	3.30	ground
0.14	0.1409	-0.2382	2.4524	20.97	-5.42	-40.13	45.09	-0.48	ground
0.16	-0.2514	-0.0559	2.4266	19.37	-4.71	-41.14	45.04	4.51	ground
0.18	0.3499	-0.5056	2.1066	21.15	-5.58	-41.07	45.09	0.72	ground
0.20	0.1085	0.1215	2.0582	20.03	-6.57	-39.25	45.18	0.21	ground
0.22	0.0769	-0.5090	1.6365	20.29	-5.43	-41.28	45.27	-1.47	ground
0.24	0.2061	0.0445	1.0458	19.79	-4.36	-40.12	45.25	1.84	ground
0.26	0.5168	-0.3680	0.6684	17.34	-4.61	-37.32	45.22	0.10	ground
0.28	0.0513	-0.2549	0.0073	18.86	-4.97	-39.54	45.20	2.58	ground
0.30	-0.0339	0.3464	-0.7506	19.87	-4.10	-39.26	45.21	4.81	ground
0.32	0.4526	0.1764	-1.0936	20.36	-5.20	-41.06	45.21	-2.18	ground
0.34	0.2903	0.3448	-1.7615	18.21	-4.94	-41.23	45.17	1.84	ground
0.36	-0.0963	0.4679	-1.8721	19.95	-5.48	-39.20	45.11	1.76	ground
0.38	0.0016	-0.2319	-2.2956	18.88	-4.04	-40.28	45.12	1.37	ground
0.40	0.0586	0.4497	-2.4834	20.23	-4.71	-38.83	44.95	-1.30	ground
0.42	0.1085	-0.4397	-2.6004	19.98	-5.56	-39.86	44.96	-1.24	ground
0.44	-0.4070	0.2238	-2.2301	20.74	-6.49	-36.44	44.92	-1.75	ground
0.46	-0.4627	-0.1480	-2.2289	21.07	-3.90	-40.47	44.97	-1.81	ground
0.48	-0.2662	-0.2791	-1.9499	20.46	-5.74	-39.61	45.03	-2.52	ground
0.50	-0.2894	0.1843	-1.5223	20.86	-4.93	-40.79	45.09	-0.31	ground
0.52	-0.1931	0.2835	-0.8986	19.65	-2.65	-38.87	45.09	-2.27	ground
0.54	0.1904	0.2746	-0.3827	22.82	-4.20	-39.46	45.04	1.31	ground
0.56	-0.0507	0.0645	0.1875	18.78	-3.39	-40.86	45.01	0.17	ground
0.58	0.0589	0.0396	0.7470	19.47	-5.54	-40.22	45.03	0.51	ground
0.60	-0.3673	0.1581	1.5256	20.90	-3.93	-38.53	44.96	-0.82	ground
0.62	-0.1385	0.0911	1.6041	20.75	-4.97	-38.65	45.04	0.21	ground
0.64	0.1762	0.1624	1.9640	20.49	-4.63	-41.31	45.03	-0.74	ground
0.66	0.1785	0.0612	2.1906	20.68	-2.98	-40.37	45.07	2.34	ground
0.68	-0.2174	0.2528	2.5591	17.92	-5.28	-38.08	44.99	-1.33	ground
0.70	0.0485	-0.4882	2.6644	21.59	-4.98	-40.07	44.95	1.13	ground
0.72	0.6597	-0.0394	2.3792	19.80	-5.90	-39.72	44.86	-3.92	ground
0.74	-0.0053	-0.4152	2.0494	21.25	-4.11	-38.87	44.93	2.14	ground
0.76	-0.2080	0.0830	1.7201	17.97	-5.56	-41.23	44.93	-1.68	ground
0.78	-0.0521	0.4926	1.5158	20.26	-3.98	-40.84	44.96	-2.74	ground
0.80	0.0277	-0.1422	1.0318	19.44	-6.65	-40.22	44.98	-3.42	ground
0.82	-0.0454	0.0382	0.4570	20.57	-4.45	-38.70	45.01	-3.65	ground
0.84	-0.0094	0.2269	-0.2881	20.32	-5.64	-38.88	45.00	-1.44	ground
0.86	-0.4330	-0.6203	-0.7078	20.37	-4.27	-39.18	45.00	4.50	ground
0.88	-0.2888	-0.1566	-1.2416	18.94	-5.01	-40.04	45.01	-1.93	ground
0.90	-0.0448	0.1094	-1.6786	19.94	-5.54	-38.77	45.04	-6.63	ground
0.92	-0.0496	-0.8691	-1.9458	19.82	-5.39	-40.05	45.07	1.10	ground
0.94	-0.1699	-0.2930	-2.3023	20.50	-5.85	-39.32	45.22	-3.34	ground
0.96	-0.0531	0.3303	-2.3743	20.99	-4.16	-38.99	45.31	2.44	ground
0.98	0.0183	0.3009	-2.4802	20.15	-6.05	-38.20	45.23	-1.26	ground
1.00	0.2668	0.1123	-2.3343	18.72	-5.27	-39.96	45.24	-0.82	ground
1.02	-0.0298	0.2647	-2.0491	20.11	-4.65	-40.26	45.23	3.59	ground
1.04	0.1197	0.0645	-2.0193	22.61	-3.39	-38.60	45.30	1.85	ground
1.06	-0.1625	0.1666	-1.4139	21.65	-5.01	-38.53	45.29	-3.74	ground
1.08	0.1716	-0.0947	-0.9322	17.03	-5.24	-40.44	45.33	-3.30	ground
1.10	0.1127	0.0347	-0.4092	20.06	-4.73	-41.01	45.22	-5.35	ground
1.12	0.2597	-0.1897	0.2096	20.93	-7.07	-38.68	45.15	7.81	ground
1.14	0.2140	0.3790	1.0266	19.82	-6.20	-41.54	45.27	-2.59	ground
1.16	0.1766	0.4565	1.1831	19.54	-5.38	-41.59	45.28	3.51	ground
1.18	-0.0295	0.4140	1.9019	19.73	-5.71	-40.17	45.24	-1.60	ground
1.20	0.0735	-0.1224	1.8584	20.55	-6.60	-39.90	45.26	-3.24	ground
1.22	0.3191	-0.2861	2.3072	18.85	-4.14	-41.06	45.22	0.06	ground
1.24	-0.1956	0.3831	2.5084	21.19	-4.74	-39.78	45.21	-0.98	ground
1.26	-0.1885	0.1632	2.5720	19.94	-4.86	-39.73	45.15	2.41	ground
1.28	0.0544	0.0986	2.4642	19.06	-5.69	-40.48	45.12	2.44	ground
1.30	0.1246	-0.1901	2.2298	21.12	-4.92	-37.97	45.11	-1.77	ground
1.32	-0.2472	0.1277	1.7043	18.45	-4.49	-39.57	45.17	-4.32	ground
1.34	-0.0224	-0.3256	1.2436	19.44	-5.26	-38.87	45.21	-3.59	ground
1.36	-0.0282	0.1902	0.9311	19.43	-4.56	-41.46	45.25	-6.85	ground
1.38	-0.6646	0.4137	0.2222	22.14	-5.80	-41.46	45.26	-0.82	ground
1.40	-0.0659	0.4893	-0.5047	19.31	-4.90	-39.54	45.31	-0.04	ground
1.42	-0.0472	0.2126	-1.0316	17.85	-3.86	-38.15	45.27	-3.43	ground
1.44	-0.0481	-0.4146	-1.5039	19.42	-3.77	-41.01	45.25	-3.79	ground
1.46	0.4248	0.0592	-1.7262	20.46	-3.67	-39.86	45.28	-0.05	ground
1.48	-0.3647	0.6419	-2.1225	20.78	-4.71	-41.24	45.27	-1.90	ground
1.50	-0.2474	-0.2606	-2.2741	22.28	-4.97	-40.72	45.28	-0.64	ground
1.52	-0.7837	-0.0178	-2.5544	21.41	-5.45	-39.81	45.28	-1.10	ground
1.54	-0.1443	0.4241	-2.4524	20.19	-6.81	-40.49	45.35	0.75	ground
1.56	-0.1187	0.1851	-2.2420	19.11	-6.34	-41.31	45.43	-1.70	ground
1.58	-0.1530	0.7440	-2.1229	21.62	-5.17	-41.33	45.41	-1.47	ground
1.60	0.3323	-0.2199	-1.6429	19.63	-5.11	-41.89	45.33	-5.65	ground
1.62	0.2582	-0.2969	-1.3583	19.34	-3.59	-39.52	45.30	-0.15	ground
1.64	0.0234	0.3672	-0.7971	19.58	-3.69	-39.40	45.27	0.27	ground
1.66	-0.1112	-0.3588	-0.2456	18.75	-5.69	-39.41	45.32	-0.53	ground
1.68	0.3079	-0.0590	0.1962	19.53	-4.18	-40.91	45.38	5.74	ground
1.70	-0.0059	-0.0197	0.9934	19.77	-5.48	-38.99	45.33	0.49	ground
1.72	-0.2455	0.3108	1.3478	20.73	-4.32	-39.29	45.30	-0.47	ground
1.74	-0.5149	0.1843	1.8457	19.61	-4.19	-39.99	45.24	1.50	ground
1.76	-0.1324	0.1371	2.2476	18.73	-3.76	-40.16	45.26	6.34	ground
1.78	0.2264	-0.1207	2.4633	18.40	-5.49	-40.65	45.26	0.76	ground
1.80	0.6830	0.3645	2.5949	20.21	-3.99	-39.81	45.31	-6.67	ground
1.82	0.0185	1.2077	2.4519	20.07	-6.87	-38.38	45.35	1.30	ground
1.84	-0.2296	0.2074	2.2492	19.45	-3.70	-38.86	45.39	-2.64	ground
1.86	-0.3555	0.0299	2.0289	19.53	-5.03	-40.26	45.32	-5.77	ground
1.88	0.1656	-0.3894	1.4119	20.39	-5.00	-39.46	45.30	5.09	ground
1.90	-0.5294	-0.1912	0.9873	21.39	-7.04	-41.10	45.36	4.44	ground
1.92	0.1651	-0.0641	0.4840	19.22	-5.39	-39.27	45.34	-2.72	ground
1.94	0.2453	-0.1604	-0.0240	20.09	-3.64	-40.83	45.27	-2.70	ground
1.96	0.1309	-0.0048	-0.3776	20.96	-5.43	-39.31	45.32	0.48	ground
1.98	-0.0659	0.5334	-1.1143	19.22	-4.29	-37.03	45.30	-2.66	ground
2.00	0.1695	0.3742	-1.5262	19.98	-4.97	-40.57	45.36	-0.41	ground
2.02	0.0513	-0.0476	-1.6907	19.96	-3.94	-37.08	45.37	-2.14	ground
2.04	-0.2334	-0.3625	-2.2592	18.69	-4.81	-39.51	45.36	-1.20	ground
2.06	0.5551	0.4012	-2.3028	20.17	-5.93	-40.75	45.44	-4.21	ground
2.08	-0.1055	-0.0147	-2.6383	20.03	-4.94	-40.80	45.39	2.48	ground
2.10	0.2327	-0.5180	-2.4865	20.56	-3.40	-37.64	45.47	3.61	ground
2.12	-0.7256	0.2137	-2.4306	18.81	-4.50	-39.51	45.45	-0.30	ground
2.14	0.3829	0.3077	-2.0548	20.01	-5.12	-40.57	45.46	-0.11	ground
2.16	0.4406	-0.7278	-1.4916	21.38	-2.74	-40.20	45.48	1.89	ground
2.18	0.0090	-0.2474	-1.4080	22.08	-3.84	-39.57	45.47	0.01	ground
2.20	0.1676	-0.0331	-0.5566	21.28	-4.18	-40.01	45.44	5.19	ground
2.22	0.1676	0.2204	-0.0272	18.82	-4.68	-39.65	45.43	-3.95	ground
2.24	-0.1928	-0.1547	0.4102	20.45	-4.27	-38.23	45.39	2.58	ground
2.26	0.1641	-0.2496	0.8190	19.52	-4.24	-41.13	45.50	-0.34	ground
2.28	-0.2426	0.2182	1.5306	20.28	-7.18	-39.36	45.48	-3.36	ground
2.30	-0.1826	-0.1405	1.8469	19.23	-4.61	-40.07	45.55	6.74	ground
2.32	0.3381	0.1626	2.2695	18.29	-5.16	-40.50	45.61	7.16	ground
2.34	0.2924	-0.3335	2.4324	19.66	-5.50	-38.93	45.64	-0.62	ground
2.36	-0.2119	-0.4057	2.7401	20.72	-5.20	-41.46	45.64	1.33	ground
2.38	-0.2201	0.2266	2.4073	20.29	-6.56	-42.37	45.66	-1.41	ground
2.40	-0.1937	0.0758	2.1085	20.40	-6.80	-39.78	45.70	-0.93	ground
2.42	0.2198	0.2767	1.9926	20.22	-3.75	-40.14	45.72	-3.40	ground
2.44	-0.3000	-0.1598	1.6022	20.40	-4.54	-41.35	45.65	-3.84	ground
2.46	0.1070	-0.2385	1.2967	20.53	-7.41	-41.71	45.57	5.53	ground
2.48	0.2241	0.4082	0.6859	19.73	-5.58	-38.07	45.65	-0.12	ground
2.50	-0.0265	-0.4569	0.0535	20.08	-4.12	-39.54	45.53	0.15	ground
2.52	0.3030	0.3754	-0.3412	21.74	-5.28	-39.98	45.55	-2.43	ground
2.54	-0.0913	0.3962	-1.2711	20.14	-3.75	-37.80	45.55	0.57	ground
2.56	-0.0642	0.2580	-1.6652	20.04	-3.95	-38.98	45.56	-4.51	ground
2.58	-0.2932	-0.2063	-2.1047	20.10	-6.36	-38.23	45.52	-2.32	ground
2.60	0.3052	-0.2450	-2.3205	19.78	-5.14	-41.18	45.54	-3.60	ground
2.62	-0.2300	-0.0630	-2.6497	19.56	-5.45	-41.22	45.56	3.88	ground
2.64	0.1049	-0.3885	-2.4045	20.21	-6.39	-39.38	45.71	-4.96	ground
2.66	-0.0214	-0.2885	-2.4624	19.49	-6.45	-39.59	45.73	-3.54	ground
2.68	-0.3158	0.1934	-2.4552	19.85	-5.81	-38.75	45.80	-6.14	ground
2.70	-0.1827	0.1948	-2.0786	19.21	-5.64	-41.63	45.74	-2.67	ground
2.72	0.4149	-0.3149	-1.4728	20.11	-4.72	-39.30	45.80	-1.38	ground
2.74	0.0605	0.2028	-0.9102	20.58	-3.96	-39.01	45.82	2.93	ground
2.76	-0.3027	0.1363	-0.1998	19.79	-4.49	-39.06	45.84	-0.67	ground
2.78	0.0916	0.4530	0.4999	17.99	-4.25	-40.41	45.87	-1.23	ground
2.80	-0.0438	0.1707	0.6839	20.59	-5.27	-39.48	45.96	0.90	ground
2.82	1.0362	0.3176	1.0005	20.12	-4.40	-40.78	45.98	-1.33	ground
2.84	0.0855	0.1431	1.2978	19.01	-5.15	-40.29	45.96	7.23	ground
2.86	-0.1142	0.2940	2.0441	20.77	-5.44	-41.04	45.93	-1.77	ground
2.88	0.4260	-0.3861	2.1662	18.60	-3.10	-40.76	45.98	1.24	ground
2.90	-0.5523	-0.0365	2.3934	21.05	-7.33	-40.24	46.02	2.48	ground
2.92	0.0283	-0.0117	2.4064	19.94	-6.87	-40.49	45.95	-1.86	ground
2.94	0.5983	-0.0731	2.3923	17.73	-4.62	-40.76	45.98	0.50	ground
2.96	-0.0349	0.1332	2.3656	20.18	-5.26	-41.30	45.94	-1.50	ground
2.98	-0.5200	0.1903	1.9092	19.59	-6.44	-38.04	45.97	0.82	ground
3.00	-0.1188	0.1177	1.4457	19.44	-6.05	-40.50	45.94	0.30	ground
3.02	0.4364	-0.0531	0.8231	19.26	-5.92	-39.67	45.94	-0.42	ground
3.04	0.1128	-0.2207	0.1864	19.87	-4.11	-41.76	45.92	-3.47	ground
3.06	-0.2517	0.3292	-0.1986	19.51	-3.79	-38.64	46.00	5.59	ground
3.08	-0.2056	0.1049	-0.6904	18.14	-3.36	-39.83	46.03	1.76	ground
3.10	-0.1679	-0.3056	-0.9392	21.27	-6.59	-40.44	46.11	-4.77	ground
3.12	0.1084	-0.0581	-1.6455	19.76	-6.37	-40.44	46.26	-1.26	ground
3.14	0.4015	-0.5230	-1.8934	19.27	-6.44	-39.13	46.27	-4.71	ground
3.16	0.3157	0.0106	-2.3876	18.87	-3.71	-42.95	46.36	2.29	ground
3.18	0.1368	-0.0595	-2.6445	20.77	-4.58	-40.82	46.33	-0.07	ground
3.20	-0.3995	-0.1723	-2.6398	18.70	-4.92	-40.12	46.40	0.01	ground
3.22	-0.3984	0.4754	-2.5051	20.13	-4.77	-40.13	46.37	-2.53	ground
3.24	0.1600	-0.3468	-1.8562	19.42	-5.06	-37.49	46.38	-0.95	ground
3.26	-0.4036	0.2119	-1.9670	19.47	-6.12	-40.34	46.42	2.36	ground
3.28	-0.0677	0.6560	-1.2924	18.90	-4.49	-39.01	46.46	3.17	ground
3.30	0.0912	0.3232	-1.0558	19.38	-5.19	-38.19	46.41	2.54	ground
3.32	-0.3413	-0.0095	-0.2358	20.01	-6.20	-39.33	46.38	-4.66	ground
3.34	-0.3073	-0.3402	0.2461	20.24	-4.43	-40.67	46.42	-0.56	ground
3.36	-0.0282	-0.4086	0.7191	19.21	-5.43	-41.28	46.41	0.76	ground
3.38	0.1511	-0.1235	1.2529	19.91	-4.77	-39.25	46.35	-2.20	ground
3.40	0.3185	-0.2061	1.6131	20.89	-5.12	-38.35	46.35	-4.98	ground
3.42	0.1821	-0.2159	2.1434	18.34	-4.11	-39.45	46.36	-3.86	ground
3.44	0.0221	-0.0979	2.2676	19.99	-4.78	-38.77	46.38	4.50	ground
3.46	-0.2239	-0.0307	2.2923	19.05	-5.88	-37.41	46.41	-3.57	ground
3.48	-0.3213	0.1456	2.2986	18.95	-4.68	-39.16	46.44	0.14	ground
3.50	-0.1533	-0.3713	2.4035	20.26	-4.65	-41.10	46.42	-0.47	ground
3.52	0.1230	-0.2047	2.3807	19.45	-4.49	-39.95	46.40	-0.46	ground
3.54	0.1010	-0.0479	1.8248	18.78	-3.96	-38.63	46.46	-0.96	ground
3.56	-0.6300	-0.0586	1.3482	21.32	-5.62	-40.25	46.44	2.37	ground
3.58	-0.2357	0.5509	0.9045	20.92	-4.33	-38.49	46.43	0.11	ground
3.60	0.3614	0.0697	0.5092	18.07	-6.72	-40.07	46.37	-1.88	ground
3.62	0.0238	-0.4841	-0.2180	18.53	-5.12	-39.67	46.38	0.15	ground
3.64	-0.4251	0.1255	-0.8640	20.59	-5.27	-40.35	46.40	-3.83	ground
3.66	0.7067	0.1637	-1.1470	19.72	-3.55	-39.84	46.31	1.43	ground
3.68	-0.0087	-0.0375	-1.6923	21.50	-5.16	-39.79	46.27	-2.04	ground
3.70	0.1153	-0.3640	-1.8805	20.62	-4.39	-41.61	46.21	-1.87	ground
3.72	0.1199	0.5274	-2.3300	20.30	-6.76	-40.44	46.26	1.54	ground
3.74	-0.1103	-0.3210	-2.6677	18.98	-5.35	-41.23	46.17	-1.22	ground
3.76	-0.2183	0.1982	-2.6893	20.49	-5.85	-40.41	46.18	-1.05	ground
