time(s)	globalX	globalY	globalZ	magX	magY	magZ	gyroAngle	pitch	floorLabel
0.021	-0.238547	0.235637	-1.285638	-20.640	-64.200	-62.520	0.000	-19.730	ground
0.033	-0.607508	0.698039	-1.121294	-20.340	-64.320	-62.700	0.470	-19.932	ground
0.053	-1.077630	0.867166	-1.099052	-20.520	-63.960	-61.740	1.099	-20.293	ground
0.072	-0.960942	0.739644	-1.033089	-19.920	-65.280	-60.960	1.573	-20.478	ground
0.093	-0.758230	0.533857	-0.950983	-19.560	-65.220	-60.660	2.472	-20.561	ground
0.113	-0.259842	0.383176	-0.913685	-19.320	-64.860	-59.940	3.112	-20.478	ground
0.132	0.210787	0.056956	-0.830835	-19.260	-65.220	-60.180	4.013	-20.161	ground
0.153	-0.005267	-0.182405	-0.676287	-18.300	-64.500	-60.120	4.507	-19.899	ground
0.173	-0.628733	0.160948	-0.513117	-18.360	-64.440	-60.300	4.935	-19.596	ground
0.192	-1.364867	1.135560	0.182407	-18.360	-64.440	-60.240	5.009	-19.566	ground
0.212	-0.999514	1.705111	0.967379	-19.020	-64.740	-58.800	5.126	-19.841	ground
0.247	0.334189	1.190296	0.698014	-19.140	-64.980	-57.240	5.423	-20.239	ground
0.255	1.109147	0.811481	0.542784	-17.880	-64.260	-58.140	6.177	-20.938	ground
0.273	0.754425	0.750204	1.145348	-17.520	-64.440	-58.200	6.709	-21.300	ground
0.293	-0.618413	0.652393	1.502592	-16.920	-64.440	-57.300	7.271	-21.588	ground
0.313	-0.544684	0.905690	2.514642	-16.920	-64.860	-56.280	7.476	-21.622	ground
0.333	0.543360	1.112711	3.389048	-17.520	-65.400	-55.920	7.755	-21.554	ground
0.352	1.526638	0.943553	3.420311	-17.820	-65.220	-56.340	8.004	-21.564	ground
0.373	1.553473	-0.184734	2.311165	-18.060	-65.520	-55.680	8.546	-21.839	ground
0.393	0.982757	-1.279264	0.931887	-16.740	-64.440	-54.720	9.026	-22.220	ground
0.413	0.493326	-0.956082	-0.057258	-16.920	-64.920	-53.820	9.708	-23.024	ground
0.432	0.488611	0.104648	-0.241223	-17.100	-65.160	-53.340	10.006	-23.628	ground
0.452	0.911458	0.074839	-0.371120	-16.620	-64.920	-52.860	10.486	-24.377	ground
0.473	1.963745	-0.732259	-0.407130	-16.560	-65.760	-51.900	11.086	-24.598	ground
0.492	2.823049	-1.622561	-0.640281	-15.900	-65.160	-52.140	12.334	-24.348	ground
0.512	2.428773	-1.944896	-1.386214	-15.660	-65.580	-51.720	13.133	-23.852	ground
0.534	1.660451	-1.597420	-1.489894	-15.480	-65.520	-51.720	13.853	-22.868	ground
0.553	0.859578	-0.796740	-1.067565	-14.820	-63.660	-52.320	13.979	-22.274	ground
0.573	0.288017	-0.224177	-1.209494	-14.580	-63.300	-51.900	13.874	-21.765	ground
0.593	-0.241769	-0.020263	-1.814645	-14.160	-63.120	-51.300	13.816	-21.713	ground
0.613	-0.611358	0.012140	-2.167028	-14.460	-63.000	-51.360	13.914	-21.967	ground
0.633	-0.502662	-0.411660	-2.355822	-15.420	-63.720	-50.520	14.098	-22.168	ground
0.653	-0.208957	-0.231665	-1.657596	-15.060	-63.360	-50.100	14.439	-22.323	ground
0.673	-0.147070	0.204481	-0.407409	-15.660	-64.440	-49.560	14.654	-22.324	ground
0.693	0.265391	-0.162488	-0.306354	-15.060	-63.540	-49.860	15.072	-22.153	ground
0.712	0.505640	-0.307461	-0.696120	-14.460	-62.400	-49.500	15.433	-21.839	ground
0.733	-0.546296	-0.749592	-1.740086	-14.160	-63.060	-49.740	15.900	-21.102	ground
0.752	-0.073132	-0.301723	-1.646716	-14.040	-63.000	-49.860	16.153	-20.667	ground
0.773	0.210084	0.106616	-0.292396	-13.200	-63.120	-49.440	16.686	-20.429	ground
0.792	0.635826	0.253286	0.548744	-13.920	-62.580	-48.900	16.963	-20.515	ground
0.813	0.939906	0.160445	0.664466	-13.440	-61.500	-48.120	17.546	-21.096	ground
0.844	1.138350	0.460308	0.841754	-13.800	-61.560	-47.160	18.164	-21.808	ground
0.853	0.722301	0.723489	0.995586	-13.860	-61.620	-46.740	19.137	-22.896	ground
0.875	0.715566	0.823568	1.186778	-13.320	-62.520	-45.720	19.739	-23.303	ground
0.892	1.233418	0.540747	1.154419	-12.360	-61.620	-44.820	20.703	-23.142	ground
0.912	1.852255	0.101196	1.147534	-11.760	-61.320	-44.580	21.442	-22.539	ground
0.933	1.364731	-0.080335	1.538802	-12.000	-61.800	-44.160	22.571	-21.082	ground
