time(s)	globalX	globalY	globalZ	magX	magY	magZ	gyroAngle	pitch	floorLabel
0.020	0.625364	0.474683	1.882738	-8.340	-38.940	-30.000	0.000	-17.265	ground
0.030	1.462941	-1.019874	3.138652	-9.180	-38.220	-30.120	0.252	-16.871	ground
0.044	1.858719	-2.062198	3.640877	-8.940	-38.160	-29.880	0.605	-17.000	ground
0.064	1.730165	-1.598667	2.429495	-8.820	-38.100	-29.340	0.719	-17.344	ground
0.085	0.711524	-0.339831	0.337051	-8.700	-38.460	-30.360	0.817	-17.963	ground
0.104	0.311328	0.465462	-0.746611	-9.600	-39.120	-29.400	0.817	-17.963	ground
0.125	0.587870	0.048552	-0.726597	-9.900	-39.420	-28.140	1.002	-18.256	ground
0.144	0.747503	-0.935266	-0.703402	-8.340	-39.000	-27.540	2.284	-18.274	ground
0.164	0.738444	-1.448194	-1.244601	-7.500	-38.280	-27.360	2.284	-18.274	ground
0.184	0.608717	-1.617276	-0.995323	-8.100	-39.420	-27.420	3.937	-17.650	ground
0.204	0.208695	-1.729543	-1.990363	-7.620	-38.820	-27.180	4.866	-17.418	ground
0.224	-0.531743	-2.469104	-3.268513	-6.600	-38.700	-27.780	5.418	-17.371	ground
0.244	-0.292353	-1.214009	-1.434997	-6.840	-39.060	-27.360	5.866	-17.111	ground
0.264	0.038983	-1.579786	-1.207994	-7.200	-38.160	-26.580	5.562	-16.896	ground
0.285	0.163909	-1.371203	-2.873586	-7.980	-38.220	-26.400	4.581	-16.303	ground
0.304	0.113695	-0.084166	-2.648351	-8.340	-37.920	-26.100	3.962	-15.705	ground
0.324	-0.848446	-0.480231	-0.891803	-7.860	-37.020	-26.460	3.258	-15.140	ground
0.344	-0.167010	0.034391	1.941814	-9.240	-37.020	-26.520	2.830	-15.314	ground
0.364	0.783422	0.146119	1.351478	-9.300	-37.440	-26.340	2.830	-15.314	ground
0.384	-0.136645	1.034886	-1.285768	-8.640	-37.200	-25.020	2.617	-18.363	ground
0.405	-0.831274	1.492450	-0.443310	-8.940	-38.160	-23.760	4.289	-19.851	ground
0.425	1.030029	0.794273	-1.877050	-7.920	-38.580	-22.080	6.053	-20.346	ground
0.444	-5.140217	-1.499175	0.362353	-7.500	-39.180	-21.360	6.053	-20.346	ground
0.465	-1.029600	-2.203413	-1.382715	-6.540	-39.960	-19.980	9.858	-20.669	ground
0.484	0.231046	-1.607129	0.588666	-6.420	-40.200	-19.680	10.995	-20.316	ground
0.505	-0.574386	-0.296794	-0.652481	-5.400	-39.060	-19.260	11.631	-20.300	ground
0.524	-1.242394	-0.633487	-0.217874	-5.520	-38.820	-18.600	11.631	-20.300	ground
0.545	-0.150340	-0.667223	0.384861	-4.500	-39.540	-17.880	13.106	-19.906	ground
0.565	0.084899	0.003511	-0.462406	-3.780	-39.180	-17.280	13.790	-19.713	ground
0.598	2.584595	-2.049953	2.795724	-4.620	-39.120	-17.220	14.285	-19.240	ground
0.608	1.886193	-3.484350	2.271450	-3.480	-38.760	-17.640	14.285	-19.240	ground
0.626	4.551135	-1.469640	2.878424	-3.540	-38.820	-17.640	14.806	-15.552	ground
0.645	0.798127	-1.798527	1.815438	-3.660	-39.120	-17.940	15.872	-13.029	ground
0.667	1.785760	-2.293827	1.585983	-2.700	-38.220	-18.720	16.525	-11.887	ground
0.685	2.199883	-0.199953	-0.477503	-2.280	-37.740	-19.260	17.580	-10.942	ground
0.706	1.744833	-0.430238	-1.272925	-1.440	-36.840	-19.440	18.587	-10.432	ground
