time(s)	globalX	globalY	globalZ	magX	magY	magZ	gyroAngle	pitch	floorLabel
0.010	0.714774	-0.112647	-1.443225	-2.460	-35.700	-34.800	359.792	-18.859	ground
0.031	0.877535	-0.885193	-0.579788	-2.220	-34.620	-34.800	359.597	-18.934	ground
0.050	0.594439	-1.011490	0.291737	-2.340	-34.320	-35.160	359.597	-18.934	ground
0.070	0.314048	-0.499156	0.578683	-2.820	-35.220	-34.920	359.404	-19.056	ground
0.091	0.128080	-0.010277	0.679628	-2.940	-35.700	-35.100	359.369	-19.624	ground
0.120	0.171455	0.336230	0.305144	-2.220	-35.460	-35.100	359.422	-19.956	ground
0.132	0.430211	0.535183	0.075164	-2.220	-35.280	-34.980	359.408	-20.308	ground
0.150	0.054253	0.634731	0.426658	-1.920	-36.060	-34.500	359.288	-20.393	ground
0.170	-1.176851	0.333699	1.347472	-2.700	-37.080	-35.040	358.940	-20.477	ground
0.191	-1.220046	0.078320	2.406054	-2.700	-36.900	-34.740	358.753	-20.663	ground
0.211	-0.748429	0.066451	1.914777	-2.460	-36.120	-34.380	358.753	-20.663	ground
0.230	-0.410157	0.223245	0.158176	-2.040	-35.880	-34.200	358.617	-21.140	ground
0.251	-0.836843	0.342055	0.152131	-1.920	-36.600	-34.080	358.729	-21.505	ground
0.271	-1.553385	0.587608	1.027389	-1.560	-36.540	-33.780	358.837	-21.356	ground
0.291	-1.992576	0.968737	1.053387	-2.400	-37.200	-34.620	358.837	-21.356	ground
0.310	-1.971619	1.065806	0.559119	-2.160	-36.300	-34.920	359.163	-21.045	ground
0.331	-1.385787	0.863007	-0.439298	-0.780	-35.640	-34.620	359.163	-21.045	ground
0.352	-0.984087	1.099162	-1.471514	-1.320	-36.600	-34.680	359.452	-20.857	ground
0.370	-0.980467	1.407300	-1.626224	-1.620	-36.780	-34.800	359.489	-20.501	ground
0.391	-0.985764	1.065844	-1.683906	-1.980	-37.320	-35.040	359.489	-20.501	ground
0.411	-0.764353	0.346080	-1.554134	-2.340	-38.100	-34.680	359.095	-19.801	ground
0.431	-1.003478	0.069813	-1.316053	-1.680	-37.260	-35.580	359.095	-19.801	ground
0.451	-1.028043	0.282984	-1.620252	-1.380	-35.820	-35.940	358.479	-19.304	ground
0.470	-0.674928	0.439149	-1.561120	-1.620	-35.640	-35.940	358.479	-19.304	ground
0.491	-0.410808	0.109872	-1.355812	-1.380	-35.220	-36.000	357.394	-19.214	ground
