time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.017	-0.310021	-0.913694	-1.17217	0	0	0	1	1	1	1	0	0	0	0	0	0	99	0	0	0	0	0	ground	0	ground	0	-1	0
0.021	-0.312525	-0.812011	-1.48237	-0.00249148	0.101175	-0.308646	1	1	1	1	0	0	0	0	0	0	99	0	0	0.0154323	0.00506026	0.010372	ground	0	ground	0	-1	0
0.04	-0.039704	-0.506624	-2.30669	0.268978	0.404529	-1.1273	1	1	1	1	0	0	0	0	0	0	99	0	0	0.0710257	0.0290968	0.041929	ground	0	ground	0	-1	0
0.06	0.214399	0.045743	-2.57422	0.520465	0.952111	-1.38786	1	1	1	1	0	0	0	0	0	0	99	0	0	0.136868	0.081896	0.0549716	ground	0	ground	0	-1	0
0.079	0.478874	0.241905	-2.48223	0.781016	1.14253	-1.28939	1	1	1	1	0	0	0	0	0	0	99	0	0	0.194494	0.147	0.047494	ground	0	ground	0	-1	0
0.099	0.91773	0.094112	-2.25859	1.21377	0.989765	-1.06042	1	1	1	1	0	0	0	0	0	0	99	0	0	0.23779	0.217958	0.0198321	ground	0	ground	0	-1	0
0.117	1.14991	-0.059705	-1.78021	1.43872	0.831768	-0.579128	1	1	1	1	0	0	0	0	0	0	99	0	0	0.254857	0.290153	-0.0352958	ground	0	ground	0	-1	0
0.136	1.2924	-0.439097	-1.39337	1.5733	0.450115	-0.191332	1	1	1	1	0	0	0	0	0	0	99	0	0	0.251681	0.357466	-0.105786	ground	0	ground	0	-1	0
0.156	1.63549	-0.844702	-1.29794	1.90681	0.0442871	-0.0954208	1	1	1	1	0	0	0	0	0	0	99	0	0	0.243868	0.43496	-0.191092	ground	0	ground	0	-1	0
0.175	1.74384	-0.720501	-1.12342	2.00509	0.167646	0.0787047	1	1	1	1	0	0	0	0	0	0	99	0	0	0.23561	0.513816	-0.278206	ground	0	ground	0	-1	0
0.194	1.45551	-0.086549	-0.351459	1.70818	0.79759	0.846413	1	1	1	1	0	0	0	0	0	0	99	0	0	0.26615	0.582386	-0.316236	ground	0	ground	0	-1	0
0.214	1.11212	0.381122	0.409325	1.35796	1.25893	1.59916	1	1	1	1	0	0	0	0	0	0	99	0	0	0.3328	0.645854	-0.313054	ground	0	ground	0	-1	0
0.233	1.01092	0.32504	0.922749	1.25048	1.19684	2.10202	1	1	1	1	0	0	0	0	0	0	99	0	0	0.421261	0.700108	-0.278846	ground	0	ground	0	-1	0
0.26	1.24897	0.064963	1.50501	1.48108	0.932077	2.67086	1	1	1	1	0	0	0	0	0	0	99	0	0	0.533741	0.752601	-0.218859	ground	0	ground	0	-1	0
0.271	1.26531	-0.171243	1.57813	1.48994	0.692392	2.73026	1	1	1	1	0	0	0	0	0	0	99	0	0	0.643567	0.797119	-0.153551	ground	0	ground	0	-1	0
0.291	0.979343	0.109895	1.55151	1.19795	0.968662	2.69012	1	1	1	1	0	0	0	0	0	0	99	0	0	0.745895	0.834292	-0.0883964	ground	0	ground	0	-1	0
0.31	0.699436	0.25471	1.86227	0.913453	1.10791	2.98588	1	1	1	1	0	0	0	0	0	0	99	0	0	0.857894	0.864373	-0.00647871	ground	0	ground	0	-1	0
0.329	0.384752	-0.007403	2.39809	0.595776	0.841568	3.50409	1	1	1	1	0	0	0	0	0	0	99	0	0	0.990204	0.87271	0.117494	ground	0	ground	0	-1	0
0.349	-0.108385	-0.125078	2.47671	0.102125	0.720273	3.5648	1	1	1	1	0	0	0	0	0	0	99	0	0	1.11893	0.865448	0.253486	ground	0	ground	0	-1	0
0.368	-0.974087	0.093228	2.94582	-0.759759	0.933887	4.01373	1	1	1	1	0	0	0	0	0	0	99	0	0	1.26367	0.882371	0.381303	ground	0	ground	0	-1	0
0.387	-2.07836	0.707957	3.25938	-1.85471	1.54087	4.30566	1	1	1	1	0	0	0	0	0	0	99	0	0	1.41577	0.958816	0.456957	ground	0	ground	0	-1	0
0.406	-2.41425	1.35581	2.22363	-2.17965	2.17778	3.25356	1	1	1	1	0	0	0	0	0	0	99	0	0	1.50766	1.06493	0.442729	ground	0	ground	0	-1	0
0.425	-1.25705	1.883	0.318457	-1.01734	2.69144	1.34165	1	1	1	1	0	0	0	0	0	0	99	0	0	1.49936	1.15555	0.34381	ground	0	ground	0	-1	0
0.445	0.080442	2.15613	-0.65704	0.318555	2.94976	0.364319	1	1	1	1	0	0	0	0	0	0	99	0	0	1.44261	1.24612	0.19649	ground	0	ground	0	-1	0
0.464	0.554794	1.7539	-0.921243	0.788942	2.53479	0.0996157	1	1	1	1	0	0	0	0	0	0	99	0	0	1.37546	1.31655	0.0589096	ground	0	ground	0	-1	0
0.483	0.279624	0.962355	-0.621498	0.511204	1.73453	0.397364	1	1	1	1	0	0	0	0	0	0	99	0	0	1.32656	1.34114	-0.0145821	ground	0	ground	0	-1	0
0.503	0.2633	0.240632	-0.553813	0.492405	1.00774	0.462724	1	1	1	1	0	0	0	0	0	0	99	0	0	1.28336	1.33016	-0.0467971	ground	0	ground	0	-1	0
0.521	0.485536	-0.155033	-1.20782	0.711068	0.609013	-0.190329	1	1	1	1	0	0	0	0	0	0	99	0	0	1.22871	1.31046	-0.081752	ground	0	ground	0	-1	0
0.541	0.475231	-0.090929	-1.8418	0.697259	0.669751	-0.820186	1	1	1	1	0	0	0	0	0	0	99	0	0	1.20829	1.29328	-0.084996	ground	0	ground	0	-1	0
0.56	0.042864	0.253578	-1.63729	0.263568	1.00919	-0.612596	1	1	1	1	0	0	0	0	0	0	99	0	0	1.1785	1.28077	-0.102268	ground	0	ground	0	-1	0
0.58	-0.293986	0.434266	-1.46923	-0.072916	1.18393	-0.442314	1	1	1	1	0	0	0	0	0	0	99	0	0	1.14169	1.27604	-0.134348	ground	0	ground	0	-1	0
0.599	-0.300104	0.616358	-1.87637	-0.0786388	1.35919	-0.845204	1	1	1	1	0	0	0	0	0	0	99	0	0	1.12687	1.28031	-0.153443	ground	0	ground	0	-1	0
0.618	0.119458	0.535534	-2.84294	0.339219	1.27197	-1.80271	1	1	1	1	0	0	0	0	0	0	99	0	0	1.16066	1.28212	-0.121457	ground	0	ground	0	-1	0
0.637	0.300011	0.443146	-3.44412	0.517173	1.17369	-2.39188	1	1	1	1	0	0	0	0	0	0	99	0	0	1.22222	1.28214	-0.0599187	ground	0	ground	0	-1	0
0.656	0.190894	0.613397	-3.47885	0.406015	1.33722	-2.41448	1	1	1	1	0	0	0	0	0	0	99	0	0	1.28183	1.28791	-0.00607375	ground	0	ground	0	-1	0
0.675	0.715827	-0.04248	-3.31036	0.926294	0.677933	-2.23475	1	1	1	1	0	0	0	0	0	0	99	0	0	1.32948	1.28091	0.048574	ground	0	ground	0	-1	0
0.695	1.24635	-1.04799	-0.994223	1.44954	-0.325936	0.0809743	1	1	1	1	0	0	0	0	0	0	99	0	0	1.26705	1.29115	-0.0240924	ground	0	ground	0	-1	0
0.714	0.291837	-1.07811	1.15831	0.492545	-0.35428	2.22234	1	1	1	1	0	0	0	0	0	0	99	0	0	1.31482	1.25693	0.0578929	ground	0	ground	0	-1	0
0.733	-1.33761	-0.231276	-0.29989	-1.13122	0.490093	0.760319	1	1	1	1	0	0	0	0	0	0	99	0	0	1.28709	1.25572	0.0313733	ground	0	ground	0	-1	0
0.753	-1.49971	0.951348	-0.667006	-1.28685	1.66435	0.391237	1	1	1	1	0	0	0	0	0	0	99	0	0	1.2423	1.29813	-0.0558244	ground	0	ground	0	-1	0
0.772	-0.219	1.47672	-1.48415	-0.00611069	2.17877	-0.423776	1	1	1	1	0	0	0	0	0	0	99	0	0	1.20137	1.34216	-0.140783	ground	0	ground	0	-1	0
0.791	2.51823	1.18406	-2.7185	2.71746	1.87669	-1.64984	1	1	1	1	0	0	0	0	0	0	99	0	0	1.2238	1.44018	-0.216378	ground	0	ground	0	-1	0
