time(s)	globalX	globalY	globalZ	quatX	quatY	quatZ	quatW	gyroAngle	pitch	floorLabel
0.017	-0.310021	-0.913694	-1.172172	0.153466	-0.127787	-0.721699	0.662774	0.000	-22.822	ground
0.021	-0.312525	-0.812011	-1.482369	0.155523	-0.130750	-0.727890	0.654899	1.221	-23.207	ground
0.040	-0.039704	-0.506624	-2.306689	0.155523	-0.130750	-0.727890	0.654899	1.221	-23.207	ground
0.060	0.214399	0.045743	-2.574224	0.159850	-0.131056	-0.733919	0.647020	2.520	-23.530	ground
0.079	0.478874	0.241905	-2.482228	0.159850	-0.131056	-0.733919	0.647020	2.520	-23.530	ground
0.099	0.917730	0.094112	-2.258594	0.161377	-0.131527	-0.735985	0.644193	2.975	-23.673	ground
0.117	1.149910	-0.059705	-1.780208	0.162250	-0.132312	-0.737530	0.642042	3.308	-23.798	ground
0.136	1.292398	-0.439097	-1.393374	0.162331	-0.133705	-0.738969	0.640075	3.589	-23.917	ground
0.156	1.635490	-0.844702	-1.297942	0.162373	-0.136725	-0.742386	0.635456	4.253	-24.165	ground
0.175	1.743844	-0.720501	-1.123421	0.161162	-0.137650	-0.745274	0.632176	4.749	-24.138	ground
0.194	1.455515	-0.086549	-0.351459	0.161162	-0.137650	-0.745274	0.632176	4.749	-24.138	ground
0.214	1.112120	0.381122	0.409325	0.159096	-0.137376	-0.748236	0.629253	5.212	-23.941	ground
0.233	1.010922	0.325040	0.922749	0.157334	-0.135845	-0.750154	0.627742	5.484	-23.662	ground
0.260	1.248967	0.064963	1.505008	0.156302	-0.134140	-0.750860	0.627523	5.558	-23.429	ground
0.271	1.265308	-0.171243	1.578131	0.156336	-0.133237	-0.751020	0.627516	5.583	-23.349	ground
0.291	0.979343	0.109895	1.551509	0.157225	-0.133191	-0.751519	0.626705	5.719	-23.407	ground
0.310	0.699436	0.254710	1.862267	0.157886	-0.133750	-0.752745	0.624947	5.988	-23.497	ground
0.329	0.384752	-0.007403	2.398092	0.157379	-0.134957	-0.754329	0.622901	6.278	-23.557	ground
0.349	-0.108385	-0.125078	2.476711	0.151310	-0.138842	-0.758636	0.618303	6.860	-23.439	ground
0.368	-0.974087	0.093228	2.945815	0.151310	-0.138842	-0.758636	0.618303	6.860	-23.439	ground
0.387	-2.078359	0.707957	3.259377	0.144899	-0.142248	-0.761458	0.615591	7.150	-23.268	ground
0.406	-2.414255	1.355811	2.223630	0.140354	-0.144721	-0.763275	0.613815	7.327	-23.155	ground
0.425	-1.257053	1.882997	0.318457	0.141931	-0.143008	-0.762241	0.615136	7.179	-23.118	ground
0.445	0.080442	2.156134	-0.657040	0.149388	-0.131194	-0.754100	0.625943	5.842	-22.637	ground
0.464	0.554794	1.753903	-0.921243	0.149388	-0.131194	-0.754100	0.625943	5.842	-22.637	ground
0.483	0.279624	0.962355	-0.621498	0.147973	-0.125861	-0.749363	0.633023	4.847	-22.084	ground
0.503	0.263300	0.240632	-0.553813	0.140088	-0.118313	-0.742623	0.644118	3.226	-20.866	ground
0.521	0.485536	-0.155033	-1.207822	0.140088	-0.118313	-0.742623	0.644118	3.226	-20.866	ground
0.541	0.475231	-0.090929	-1.841801	0.133106	-0.112831	-0.742008	0.647284	2.821	-19.862	ground
0.560	0.042864	0.253578	-1.637289	0.133106	-0.112831	-0.742008	0.647284	2.821	-19.862	ground
0.580	-0.293986	0.434266	-1.469230	0.128467	-0.111823	-0.743421	0.646775	2.907	-19.417	ground
0.599	-0.300104	0.616358	-1.876367	0.124044	-0.105500	-0.745432	0.646385	3.091	-18.521	ground
0.618	0.119458	0.535534	-2.842935	0.124044	-0.105500	-0.745432	0.646385	3.091	-18.521	ground
0.637	0.300011	0.443146	-3.444120	0.123073	-0.098967	-0.745939	0.647019	3.121	-17.873	ground
0.656	0.190894	0.613397	-3.478851	0.120827	-0.091521	-0.746178	0.648262	3.059	-17.052	ground
0.675	0.715827	-0.042480	-3.310359	0.116777	-0.084096	-0.745339	0.650969	2.750	-16.105	ground
0.695	1.246354	-1.047987	-0.994223	0.109665	-0.080163	-0.742931	0.655440	2.092	-15.240	ground
0.714	0.291837	-1.078112	1.158310	0.096201	-0.088184	-0.734980	0.665412	0.346	-14.931	ground
0.733	-1.337610	-0.231276	-0.299890	0.096201	-0.088184	-0.734980	0.665412	0.346	-14.931	ground
0.753	-1.499705	0.951348	-0.667006	0.106904	-0.086085	-0.729293	0.670293	359.629	-15.597	ground
0.772	-0.219000	1.476716	-1.484149	0.124569	-0.083103	-0.722258	0.675218	358.924	-16.754	ground
0.791	2.518228	1.184063	-2.718500	0.138709	-0.084084	-0.716213	0.678770	358.354	-17.984	ground
0.809	1.286722	-0.020822	0.274624	0.137269	-0.089309	-0.716548	0.678042	358.371	-18.309	ground
0.830	-0.173589	-0.809049	2.745867	0.117505	-0.099465	-0.723527	0.672910	358.959	-17.582	ground
0.862	0.077129	-0.831448	3.539914	0.117505	-0.099465	-0.723527	0.672910	358.959	-17.582	ground
0.867	0.233491	-0.653931	3.693160	0.108789	-0.103005	-0.726984	0.670112	359.316	-17.192	ground
0.887	0.034385	-0.592017	3.620777	0.101497	-0.102225	-0.730339	0.667723	359.702	-16.551	ground
0.906	-0.638389	-0.317038	3.721259	0.094951	-0.099831	-0.733630	0.665436	0.106	-15.834	ground
0.925	-1.817272	-0.446061	4.991139	0.087107	-0.099037	-0.736979	0.662922	0.505	-15.157	ground
0.945	-2.448147	-0.322760	4.743827	0.080096	-0.098618	-0.739745	0.660785	0.835	-14.582	ground
0.964	-2.412757	-0.320684	3.260676	0.076821	-0.098157	-0.741079	0.659747	1.001	-14.291	ground
0.983	-2.055471	-0.528937	1.407307	0.077844	-0.098282	-0.740911	0.659797	0.993	-14.380	ground
1.002	-1.619815	-1.241357	0.412021	0.083987	-0.104526	-0.737984	0.661363	0.625	-15.389	ground
1.021	-1.262338	-1.546491	-0.167813	0.083987	-0.104526	-0.737984	0.661363	0.625	-15.389	ground
1.041	-0.737521	-1.533032	-0.995498	0.087452	-0.108328	-0.737024	0.661372	0.544	-15.983	ground
1.060	-0.114471	-1.247286	-2.060888	0.091471	-0.109309	-0.736463	0.661292	0.543	-16.379	ground
1.079	0.360095	-0.527984	-2.427412	0.093970	-0.107448	-0.736228	0.661509	0.559	-16.412	ground
1.100	0.590509	0.144329	-2.266062	0.094356	-0.104866	-0.736324	0.661761	0.578	-16.219	ground
1.118	0.430177	0.190243	-1.398552	0.089340	-0.107645	-0.737348	0.660869	0.644	-16.071	ground
1.137	0.147879	-0.243946	-0.200827	0.089340	-0.107645	-0.737348	0.660869	0.644	-16.071	ground
1.156	0.384905	-0.365793	-0.582213	0.088594	-0.114277	-0.738051	0.659069	0.769	-16.587	ground
1.175	0.873328	-0.054961	-1.560267	0.091975	-0.120346	-0.738915	0.656553	1.024	-17.375	ground
1.195	1.658274	0.033578	-2.245534	0.102959	-0.122151	-0.740649	0.652623	1.634	-18.381	ground
1.213	1.653414	0.098183	-2.244395	0.106208	-0.118711	-0.741781	0.651451	1.919	-18.330	ground
1.233	1.032549	0.086294	-1.571671	0.106208	-0.118711	-0.741781	0.651451	1.919	-18.330	ground
1.253	0.616317	-0.276188	-0.496399	0.107252	-0.116238	-0.742920	0.650427	2.146	-18.194	ground
1.272	0.336711	-0.122597	-0.089565	0.108248	-0.115566	-0.743740	0.649444	2.321	-18.210	ground
1.291	0.545372	0.419612	0.072075	0.110554	-0.115384	-0.743853	0.648959	2.410	-18.370	ground
1.310	1.010566	0.548367	-0.037352	0.119289	-0.117450	-0.740496	0.650877	2.086	-19.222	ground
1.329	1.593054	0.044690	0.305906	0.124589	-0.118680	-0.737702	0.652832	1.762	-19.741	ground
1.353	1.622827	-0.594472	0.101380	0.124589	-0.118680	-0.737702	0.652832	1.762	-19.741	ground
1.367	1.274913	-0.046970	-0.447900	0.129388	-0.119981	-0.735399	0.654257	1.518	-20.229	ground
1.386	0.321847	0.080670	0.650174	0.131207	-0.122514	-0.734426	0.654518	1.416	-20.592	ground
1.405	0.527496	-0.692999	1.594401	0.131355	-0.123710	-0.733022	0.655836	1.172	-20.711	ground
1.425	0.876739	-0.808546	1.499655	0.129933	-0.116098	-0.730237	0.660601	0.594	-19.952	ground
1.444	0.701963	-0.618528	1.499904	0.129933	-0.116098	-0.730237	0.660601	0.594	-19.952	ground
1.463	-1.055077	-0.304847	3.104628	0.122451	-0.113948	-0.730145	0.662503	0.318	-19.187	ground
1.482	-2.482980	0.436607	4.833032	0.110616	-0.114209	-0.730436	0.664216	0.004	-18.288	ground
1.502	-2.334194	0.987132	4.353187	0.102348	-0.114667	-0.729541	0.666443	359.614	-17.682	ground
1.521	-0.633820	0.828294	1.848492	0.109694	-0.118325	-0.721961	0.672859	358.495	-18.570	ground
1.540	0.700664	0.725703	-0.523192	0.116893	-0.122233	-0.718177	0.674995	358.052	-19.474	ground
1.559	1.057561	0.801672	-2.010843	0.116893	-0.122233	-0.718177	0.674995	358.052	-19.474	ground
1.580	0.732565	0.930288	-2.149321	0.121874	-0.125675	-0.714837	0.677023	357.628	-20.163	ground
1.599	-0.006854	0.697557	-1.422505	0.120622	-0.123161	-0.714740	0.677811	357.568	-19.851	ground
1.617	-0.655176	0.659857	-0.772248	0.119305	-0.118465	-0.714890	0.678723	357.546	-19.349	ground
1.636	-1.041748	0.979541	-0.574704	0.119305	-0.118465	-0.714890	0.678723	357.546	-19.349	ground
1.655	-1.023694	0.992797	-0.656476	0.119143	-0.112623	-0.714319	0.680345	357.433	-18.845	ground
1.675	-0.791536	0.609742	-0.848156	0.122672	-0.106491	-0.710453	0.684740	356.865	-18.621	ground
1.694	-0.395670	0.298595	-1.306761	0.126185	-0.108401	-0.708259	0.686073	356.600	-19.068	ground
1.713	-0.038977	0.381926	-2.218150	0.126185	-0.108401	-0.708259	0.686073	356.600	-19.068	ground
1.733	0.504500	0.600507	-3.100095	0.130309	-0.111640	-0.705954	0.687157	356.340	-19.677	ground
1.752	0.985187	0.426384	-3.076344	0.133513	-0.114670	-0.703233	0.688831	355.981	-20.195	ground
1.771	1.240746	-0.146098	-2.597615	0.133885	-0.119037	-0.698257	0.693067	355.143	-20.599	ground
1.790	1.315683	-0.794035	-1.963801	0.131900	-0.120010	-0.697244	0.694299	354.905	-20.518	ground
1.810	1.017843	-0.836504	-1.540734	0.131900	-0.120010	-0.697244	0.694299	354.905	-20.518	ground
1.830	0.646227	-0.603989	-1.284114	0.129592	-0.118918	-0.697211	0.694954	354.825	-20.239	ground
1.849	0.310786	-0.600095	-0.380419	0.127055	-0.115672	-0.697773	0.695406	354.840	-19.763	ground
1.868	0.489882	-1.270795	0.390536	0.124786	-0.110933	-0.698883	0.695475	354.958	-19.186	ground
1.888	-0.034688	-0.011492	-0.279380	0.123464	-0.103397	-0.704266	0.691430	355.828	-18.444	ground
1.906	0.112802	0.182506	0.056648	0.121471	-0.101947	-0.707088	0.689114	356.248	-18.155	ground
1.936	0.136474	0.120396	1.341560	0.119200	-0.100823	-0.709836	0.686847	356.648	-17.871	ground
1.944	0.492763	0.073595	1.526160	0.119200	-0.100823	-0.709836	0.686847	356.648	-17.871	ground
1.964	1.218203	0.153257	0.539433	0.116908	-0.093943	-0.715533	0.682290	357.548	-17.096	ground
1.983	1.246071	-0.253280	0.016147	0.109758	-0.088161	-0.720204	0.679329	358.139	-16.028	ground
2.002	-0.310277	-0.781201	2.046902	0.109758	-0.088161	-0.720204	0.679329	358.139	-16.028	ground
2.021	-2.468730	-0.397319	5.654922	0.084684	-0.071594	-0.732655	0.671506	359.640	-12.629	ground
2.041	-3.588368	0.235689	6.865078	0.084684	-0.071594	-0.732655	0.671506	359.640	-12.629	ground
2.060	-2.809075	0.189678	4.429416	0.080118	-0.066200	-0.736636	0.668256	0.223	-11.807	ground
2.080	-1.780550	-0.475079	1.455198	0.081345	-0.066554	-0.738573	0.665930	0.586	-11.926	ground
2.098	-1.631564	-0.977149	0.630861	0.082235	-0.071401	-0.739928	0.663811	0.850	-12.406	ground
2.119	-1.516275	-1.157124	0.739336	0.079635	-0.083305	-0.743103	0.659178	1.379	-13.226	ground
2.137	-1.186181	-1.006999	0.454848	0.079635	-0.083305	-0.743103	0.659178	1.379	-13.226	ground
2.156	-0.702278	-1.142771	0.007383	0.079977	-0.086644	-0.744731	0.656865	1.683	-13.540	ground
2.175	-0.244658	-1.514733	-0.675238	0.087117	-0.092084	-0.748487	0.650921	2.527	-14.552	ground
2.195	0.154327	-0.904501	-2.137058	0.093512	-0.095920	-0.751357	0.646156	3.214	-15.366	ground
2.214	0.516417	-0.117617	-3.329804	0.099792	-0.099838	-0.754309	0.641164	3.933	-16.176	ground
2.233	1.046608	-0.056370	-3.890013	0.105074	-0.102416	-0.757159	0.636538	4.618	-16.790	ground
2.252	1.580626	-0.183739	-3.957857	0.109259	-0.102816	-0.760244	0.632076	5.317	-17.125	ground
2.273	1.886564	0.013584	-3.845560	0.111813	-0.101934	-0.763758	0.627520	6.046	-17.220	ground
2.290	1.894983	0.233055	-3.377475	0.112350	-0.100965	-0.767588	0.622890	6.776	-17.155	ground
2.309	1.617988	0.476385	-2.724329	0.112350	-0.100965	-0.767588	0.622890	6.776	-17.155	ground
2.330	1.181119	0.778151	-1.755756	0.108229	-0.099189	-0.774957	0.614727	8.027	-16.666	ground
2.348	0.717549	1.144100	-0.738349	0.105415	-0.097459	-0.777316	0.612511	8.377	-16.299	ground
2.367	0.544334	1.393358	0.182684	0.103266	-0.094742	-0.778141	0.612255	8.451	-15.896	ground
2.387	0.815999	1.540119	1.128327	0.103266	-0.094742	-0.778141	0.612255	8.451	-15.896	ground
2.405	0.809134	1.534669	2.093741	0.101904	-0.092185	-0.777545	0.613629	8.280	-15.570	ground
2.424	0.747871	1.016633	2.406699	0.101827	-0.093279	-0.773184	0.618964	7.458	-15.682	ground
2.444	0.841250	0.318615	1.909025	0.101827	-0.093279	-0.773184	0.618964	7.458	-15.682	ground
2.478	0.679915	0.064706	1.649039	0.101342	-0.099097	-0.769112	0.623199	6.711	-16.185	ground
2.481	0.433609	0.043642	2.237094	0.101342	-0.099097	-0.769112	0.623199	6.711	-16.185	ground
2.502	0.196904	-0.049570	3.002384	0.099791	-0.098156	-0.767686	0.625352	6.394	-15.993	ground
2.521	-0.115619	-0.304507	3.293661	0.096504	-0.087764	-0.764671	0.631081	5.690	-14.834	ground
2.541	-0.993573	-0.551126	3.902624	0.093678	-0.084203	-0.763365	0.633568	5.358	-14.315	ground
2.560	-2.105691	0.118136	4.907564	0.093121	-0.085580	-0.761619	0.635563	5.029	-14.402	ground
2.580	-2.062282	1.269810	3.594535	0.098158	-0.091509	-0.757709	0.638646	4.473	-15.311	ground
2.599	-0.425584	1.354658	0.471691	0.106293	-0.098868	-0.751481	0.643587	3.599	-16.584	ground
2.616	1.139590	0.528492	-1.849507	0.106293	-0.098868	-0.751481	0.643587	3.599	-16.584	ground
2.637	1.754838	-0.032844	-2.738515	0.117384	-0.107408	-0.739588	0.653984	1.822	-18.205	ground
