time(s)	globalX	globalY	globalZ	rot_x	rot_y	rot_z	rot_w	gyroAngle	stepCount	label
0.000	-0.638247	-0.781934	1.797127	0.133962	-0.056005	-0.570786	0.808159	200.582	0	ground
0.001	-1.154777	-0.204931	1.765508	0.130623	-0.052281	-0.574480	0.806336	200.120	0	ground
0.004	-0.993394	0.103982	0.663252	0.129322	-0.045970	-0.581176	0.802120	199.269	0	ground
0.024	-0.214463	-0.151674	0.504810	0.127555	-0.047179	-0.584183	0.800146	198.827	0	ground
0.043	-0.566660	-0.087779	1.240321	0.127555	-0.047179	-0.584183	0.800146	198.827	0	ground
0.062	-0.802960	0.352563	0.973828	0.126272	-0.048773	-0.587130	0.798094	198.387	0	ground
0.081	-0.459710	0.348465	0.574730	0.125988	-0.051358	-0.589085	0.796535	198.073	0	ground
0.101	0.728427	0.029008	-0.294268	0.126845	-0.060595	-0.590465	0.794726	197.739	0	ground
0.120	1.151428	0.066106	-0.762756	0.126845	-0.060595	-0.590465	0.794726	197.739	0	ground
0.140	0.404539	0.314524	-0.302728	0.125550	-0.064143	-0.592332	0.793263	197.415	0	ground
0.158	-0.389984	0.381660	0.439646	0.119771	-0.069649	-0.598135	0.789328	196.492	0	ground
0.178	-0.572426	0.234779	0.742976	0.119938	-0.069717	-0.598931	0.788693	196.377	0	ground
0.198	0.065202	0.003025	-0.003530	0.119938	-0.069717	-0.598931	0.788693	196.377	0	ground
0.217	0.522878	0.052323	0.264625	0.122571	-0.069581	-0.600037	0.787458	196.224	0	ground
0.236	0.372269	-0.068043	0.123553	0.122571	-0.069581	-0.600037	0.787458	196.224	0	ground
0.255	0.469228	-0.226880	-0.678781	0.125198	-0.072335	-0.604964	0.783015	195.472	0	ground
0.274	0.542036	-0.023568	-0.990049	0.125198	-0.072335	-0.604964	0.783015	195.472	0	ground
0.294	0.098568	0.329453	0.572184	0.116132	-0.088600	-0.612656	0.776734	194.044	0	ground
0.312	-0.839939	0.748162	1.307746	0.114225	-0.095860	-0.617625	0.772207	193.168	0	ground
0.332	-0.543239	0.431651	0.600013	0.114225	-0.095860	-0.617625	0.772207	193.168	0	ground
0.351	1.011830	-0.406153	-0.714543	0.115719	-0.098202	-0.621537	0.768542	192.546	0	ground
0.370	1.635786	-0.133124	-3.136319	0.118484	-0.100922	-0.625462	0.764574	191.909	0	ground
0.389	1.275694	0.572089	-2.973254	0.115642	-0.110027	-0.632450	0.757977	190.662	0	ground
0.408	-0.742905	0.539292	1.174329	0.095076	-0.131224	-0.649129	0.743217	187.608	0	ground
0.429	-2.104458	-0.059141	1.487170	0.095076	-0.131224	-0.649129	0.743217	187.608	0	ground
0.448	-2.601437	-0.100221	-0.096468	0.092125	-0.128881	-0.652890	0.740701	187.112	0	ground
0.467	-2.184883	-0.096513	-0.297128	0.092646	-0.126465	-0.650572	0.743088	187.531	0	ground
0.486	-2.113640	-0.138884	0.917601	0.096518	-0.127782	-0.641579	0.750155	188.839	20	ground
0.505	-1.006438	-1.040019	0.177535	0.106685	-0.130474	-0.626459	0.761015	190.988	0	ground
0.524	3.837712	-0.361842	-1.279501	0.130560	-0.154174	-0.594938	0.777967	194.742	0	ground
0.543	5.323595	-3.613961	-0.838214	0.130560	-0.154174	-0.594938	0.777967	194.742	0	ground
0.562	1.940526	-2.224860	-1.208360	0.129684	-0.172779	-0.595474	0.773783	193.985	0	ground
0.581	0.448149	-0.962130	-1.936007	0.126438	-0.183304	-0.602891	0.766117	192.514	0	ground
0.600	-0.776915	-1.352810	-1.884662	0.112415	-0.192347	-0.617792	0.754121	190.006	0	ground
0.620	0.635859	-0.989165	-1.384817	0.112415	-0.192347	-0.617792	0.754121	190.006	0	ground
0.639	2.275180	1.382253	1.436880	0.102675	-0.189896	-0.623607	0.751340	189.277	0	ground
0.659	1.463992	4.998480	1.923508	0.092831	-0.185407	-0.632286	0.746473	188.200	0	ground
0.678	0.553883	4.004424	0.471323	0.088138	-0.176744	-0.639369	0.743102	187.502	0	ground
0.698	-0.361617	1.078186	0.624916	0.086571	-0.163564	-0.639282	0.746372	188.021	0	ground
