time(s)	globalX	globalY	globalZ	rot_x	rot_y	rot_z	rot_w	gyroAngle	stepCount	label
0.000	0.000777	-0.396008	-1.605384	0.165865	-0.046007	-0.567069	0.805484	291.333	0	ground
0.007	-0.524701	-0.019782	-1.111781	0.162060	-0.047178	-0.566107	0.806867	291.437	0	ground
0.026	-0.694632	0.001092	-0.574494	0.157452	-0.051083	-0.564839	0.808428	291.540	0	ground
0.046	0.215091	-0.279173	-0.866271	0.151509	-0.058172	-0.564336	0.809436	291.479	0	ground
0.065	0.306169	-0.727351	0.415658	0.145091	-0.065986	-0.565298	0.809341	291.198	0	ground
0.084	-0.464614	-1.074664	0.817377	0.140627	-0.069401	-0.566440	0.809045	290.971	0	ground
0.103	-1.013813	-0.872354	-0.152207	0.136383	-0.069090	-0.567060	0.809363	290.887	0	ground
0.122	-1.320767	-0.262367	-0.581787	0.130780	-0.068290	-0.566838	0.810511	290.926	0	ground
0.142	-1.145499	0.249678	-0.411636	0.124085	-0.068918	-0.565681	0.812317	291.070	12	ground
0.161	-0.364053	0.200783	-0.028582	0.111876	-0.075142	-0.561312	0.816558	291.555	0	ground
0.181	0.530543	-0.182760	0.598448	0.107007	-0.082164	-0.560489	0.817099	291.535	0	ground
0.201	0.868899	-0.293776	0.124842	0.107007	-0.082164	-0.560489	0.817099	291.535	0	ground
0.218	0.343405	-0.152103	-0.935696	0.101834	-0.090342	-0.559723	0.817422	291.477	0	ground
0.238	0.274195	-0.182081	-0.905279	0.096388	-0.096003	-0.558299	0.818410	291.557	0	ground
0.257	0.726775	-0.246791	-0.575888	0.089984	-0.099068	-0.557376	0.819403	291.626	0	ground
0.276	1.101290	-0.442019	-1.018896	0.081448	-0.101236	-0.558020	0.819592	291.504	0	ground
0.295	1.532991	-0.372395	-1.418138	0.070279	-0.104240	-0.560780	0.818365	291.079	0	ground
0.315	1.756742	-0.300902	-0.431542	0.058628	-0.108528	-0.566777	0.814585	290.177	0	ground
0.334	-0.334529	-0.284427	2.600422	0.052454	-0.110071	-0.576371	0.808040	288.815	0	ground
0.353	-1.082276	-0.764746	1.316522	0.053367	-0.110029	-0.586568	0.800614	287.373	0	ground
0.372	-2.125020	-0.840815	0.991002	0.059418	-0.112221	-0.593342	0.794872	286.343	0	ground
0.392	-4.186159	-0.513201	0.424435	0.070025	-0.118336	-0.592603	0.793672	286.274	0	ground
0.411	-4.587938	-0.152883	0.907812	0.089707	-0.124599	-0.581596	0.798858	287.626	0	ground
0.431	1.568003	1.088005	-4.162511	0.102879	-0.138609	-0.568444	0.804410	289.030	0	ground
0.451	2.341897	-1.598313	2.474132	0.104037	-0.146406	-0.563817	0.806134	289.426	0	ground
0.468	0.615277	-2.262166	1.170492	0.113184	-0.138054	-0.561862	0.807738	289.935	0	ground
0.488	0.644286	-0.133015	-1.214999	0.120040	-0.129948	-0.561053	0.808656	290.275	0	ground
0.507	0.490844	0.437859	-2.186375	0.120715	-0.127291	-0.561044	0.808984	290.352	0	ground
0.526	-0.043879	-0.493017	-0.628078	0.117422	-0.126340	-0.560548	0.809961	290.453	0	ground
0.546	1.710927	-1.772026	-1.137696	0.110774	-0.128679	-0.561759	0.809690	290.232	0	ground
0.564	1.020722	-1.830257	-1.076056	0.097291	-0.145876	-0.566657	0.805081	289.067	0	ground
0.584	1.628910	-1.012817	3.083068	0.085238	-0.174402	-0.574845	0.794904	286.973	0	ground
0.603	0.775693	2.766285	5.413631	0.081655	-0.195055	-0.589371	0.779697	284.093	0	ground
0.623	-2.586516	6.902701	-0.264453	0.088548	-0.196183	-0.597058	0.772783	282.916	0	ground
