time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.021	-0.238547	0.235637	-1.28564	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0	0	0	ground	0	ground	0	-1	0
0.033	-0.607508	0.698039	-1.12129	-0.367116	0.46009	0.163522	0.457063	-0.370878	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.00817611	0.0294303	-0.0212542	ground	0	ground	0	-1	0
0.053	-1.07763	0.867166	-1.09905	-0.833052	0.626071	0.184835	0.609978	-0.844907	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.0170091	0.080063	-0.0630539	ground	0	ground	0	-1	0
0.072	-0.960942	0.739644	-1.03309	-0.712782	0.496056	0.249544	0.476303	-0.726131	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.0286359	0.11948	-0.0908444	ground	0	ground	0	-1	0
0.093	-0.75823	0.533857	-0.950983	-0.50752	0.288818	0.329992	0.266659	-0.519505	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.0437037	0.142703	-0.0989998	ground	0	ground	0	-1	0
0.113	-0.259842	0.383176	-0.913685	-0.00908617	0.137446	0.365454	0.13675	-0.0165344	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.0597912	0.142456	-0.0826644	ground	0	ground	0	-1	0
0.132	0.210787	0.056956	-0.830835	0.459235	-0.18783	0.446062	-0.155231	0.471254	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.0791047	0.160141	-0.0810362	ground	0	ground	0	-1	0
0.153	-0.005267	-0.182405	-0.676287	0.241965	-0.425055	0.597607	-0.404727	0.274618	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.10503	0.176589	-0.071559	ground	0	ground	0	-1	0
0.173	-0.628733	0.160948	-0.513117	-0.379593	-0.0812935	0.756973	-0.113647	-0.371193	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.137627	0.187169	-0.0495424	ground	0	ground	0	-1	0
0.192	-1.36487	1.13556	0.182407	-1.11015	0.888852	1.44523	0.788528	-1.18352	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.203007	0.248918	-0.0459107	ground	0	ground	0	-1	0
0.212	-0.999514	1.70511	0.967379	-0.741072	1.45111	2.21906	1.3791	-0.867759	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.30381	0.317942	-0.0141318	ground	0	ground	0	-1	0
0.247	0.334189	1.1903	0.698014	0.589668	0.931614	1.93994	0.983173	0.498984	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.385616	0.357172	0.0284444	ground	0	ground	0	-1	0
0.255	1.10915	0.811481	0.542784	1.3578	0.550035	1.77579	0.692942	1.29074	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.455125	0.412562	0.0425626	ground	0	ground	0	-1	0
0.273	0.754425	0.750204	1.14535	0.998066	0.486315	2.36646	0.599585	0.934417	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.550692	0.447446	0.103245	ground	0	ground	0	-1	0
0.293	-0.618413	0.652393	1.50259	-0.372899	0.386561	2.71009	0.336258	-0.418824	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.658662	0.451929	0.206732	ground	0	ground	0	-1	0
0.313	-0.544684	0.90569	2.51464	-0.297674	0.636659	3.70353	0.592516	-0.37798	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.810905	0.464473	0.346431	ground	0	ground	0	-1	0
0.333	0.54336	1.11271	3.38905	0.786418	0.839461	4.55504	0.937901	0.665951	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	0.998112	0.498764	0.499348	ground	0	ground	0	-1	0
0.352	1.52664	0.943553	3.42031	1.76085	0.666952	4.56337	0.905639	1.65083	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.17637	0.567972	0.608403	ground	0	ground	0	-1	0
0.373	1.55347	-0.184734	2.31116	1.77874	-0.459028	3.43696	-0.189604	1.82721	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.2894	0.631424	0.657979	ground	0	ground	0	-1	0
0.393	0.982757	-1.27926	0.931887	1.20199	-1.54579	2.04739	-1.33808	1.42961	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.3273	0.697759	0.629544	ground	0	ground	0	-1	0
0.413	0.493326	-0.956082	-0.057258	0.708995	-1.2165	1.05295	-1.07952	0.903976	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.31359	0.733273	0.580313	ground	0	ground	0	-1	0
0.432	0.488611	0.104648	-0.241223	0.700758	-0.154987	0.864644	-0.0308717	0.717029	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.29114	0.732494	0.558645	ground	0	ground	0	-1	0
0.452	0.911458	0.074839	-0.37112	1.11799	-0.183872	0.731073	0.0226673	1.13278	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.26314	0.752519	0.510616	ground	0	ground	0	-1	0
0.473	1.96375	-0.732259	-0.40713	2.15942	-0.986015	0.691588	-0.552397	2.30872	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.23456	0.833588	0.40097	ground	0	ground	0	-1	0
0.492	2.82305	-1.62256	-0.640281	3.00363	-1.86694	0.456145	-1.18224	3.3331	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.19564	0.968736	0.226901	ground	0	ground	0	-1	0
0.512	2.42877	-1.9449	-1.38621	2.59631	-2.17832	-0.288339	-1.53144	3.02335	1	1	1	1	0	0	0	0	0	0	99	3.03129e-314	0	0	1.15027	1.08975	0.0605185	ground	0	ground	0	-1	0
