time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	localFwdY	localLatX	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	dirR1	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.02	0.625364	0.474683	1.88274	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0	0	0	ground	0	ground	0	-1	0
0.03	1.46294	-1.01987	3.13865	0.833389	-1.48708	1.24963	-1.4834	0.839922	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.0624817	0.0852343	-0.0227526	ground	0	ground	0	-1	0
0.044	1.85872	-2.0622	3.64088	1.22302	-2.51676	1.7431	-2.50371	1.24953	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.146513	0.220882	-0.0743695	ground	0	ground	0	-1	0
0.064	1.73016	-1.59867	2.4295	1.08899	-2.04296	0.52906	-2.02914	1.11455	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.16564	0.325592	-0.159952	ground	0	ground	0	-1	0
0.085	0.711524	-0.339831	0.337051	0.0700022	-0.780207	-1.55557	-0.77913	0.0811199	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.235136	0.34848	-0.113343	ground	0	ground	0	-1	0
0.104	0.311328	0.465462	-0.746611	-0.328543	0.0249602	-2.62603	0.020273	-0.328865	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.354681	0.34753	0.00715106	ground	0	ground	0	-1	0
0.125	0.58787	0.048552	-0.726597	-0.0517409	-0.38999	-2.59299	-0.390835	-0.0449131	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.466597	0.349824	0.116773	ground	0	ground	0	-1	0
0.144	0.747503	-0.935266	-0.703402	0.107353	-1.36694	-2.55695	-1.36157	0.161744	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.571114	0.40089	0.170224	ground	0	ground	0	-1	0
0.164	0.738444	-1.44819	-1.2446	0.0978022	-1.87047	-3.08265	-1.86508	0.172268	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.696691	0.474497	0.222194	ground	0	ground	0	-1	0
0.184	0.608717	-1.61728	-0.995323	-0.0317652	-2.02935	-2.81921	-2.02674	0.107644	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.802817	0.552252	0.250565	ground	0	ground	0	-1	0
0.204	0.208695	-1.72954	-1.99036	-0.429628	-2.13091	-3.79518	-2.15967	-0.247324	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	0.952435	0.633329	0.319106	ground	0	ground	0	-1	0
0.224	-0.531743	-2.4691	-3.26851	-1.16422	-2.85612	-5.04796	-2.95329	-0.889337	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.15721	0.755877	0.401334	ground	0	ground	0	-1	0
0.244	-0.292353	-1.21401	-1.435	-0.920202	-1.59302	-3.19837	-1.67872	-0.752573	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.25927	0.810068	0.449202	ground	0	ground	0	-1	0
0.264	0.038983	-1.57979	-1.20799	-0.585921	-1.949	-2.95651	-1.99662	-0.39426	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.34413	0.871323	0.472809	ground	0	ground	0	-1	0
0.285	0.163909	-1.3712	-2.87359	-0.45869	-1.73172	-4.59899	-1.76282	-0.318916	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.50687	0.917328	0.589546	ground	0	ground	0	-1	0
0.304	0.113695	-0.084166	-2.64835	-0.50636	-0.442457	-4.35189	-0.476386	-0.474578	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.64913	0.905084	0.744042	ground	0	ground	0	-1	0
0.324	-0.848446	-0.480231	-0.891803	-1.46116	-0.834329	-2.58237	-0.916022	-1.41138	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.69579	0.943959	0.751829	ground	0	ground	0	-1	0
0.344	-0.16701	0.034391	1.94181	-0.775824	-0.318109	0.249995	-0.356025	-0.759172	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.6235	0.938686	0.684812	ground	0	ground	0	-1	0
0.364	0.783422	0.146119	1.35148	0.173735	-0.205349	-0.338639	-0.196521	0.183662	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.55925	0.905201	0.654054	ground	0	ground	0	-1	0
0.384	-0.136645	1.03489	-1.28577	-0.7426	0.680001	-2.96101	0.645385	-0.772874	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.62934	0.910286	0.719056	ground	0	ground	0	-1	0
0.405	-0.831274	1.49245	-0.44331	-1.43004	1.13188	-2.10796	1.02176	-1.51069	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.65327	0.955961	0.697312	ground	0	ground	0	-1	0
0.425	1.03003	0.794273	-1.87705	0.429104	0.431532	-3.52399	0.474374	0.381207	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.74681	0.938591	0.808218	ground	0	ground	0	-1	0
0.444	-5.14022	-1.49917	0.362353	-5.71244	-1.85261	-1.27816	-2.44465	-5.48523	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.72338	1.19193	0.531448	ground	0	ground	0	-1	0
0.465	-1.0296	-2.20341	-1.38271	-1.59381	-2.54406	-3.00811	-2.77937	-1.13472	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.78761	1.28244	0.505177	ground	0	ground	0	-1	0
0.484	0.231046	-1.60713	0.588666	-0.331499	-1.93804	-1.03155	-1.96569	0.0442153	1	1	1	1	0	0	0	0	0	0	99	3.01549e-314	0	0	1.74981	1.31662	0.433187	ground	0	ground	0	-1	0
