time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	varYZRatio	dmagRatio	zfRatio	freqRatio	stairConfidence	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0	0.000777	-0.396008	-1.60538	0	0	0	1	1	1	1	0	0	0	0	0	0	99	0	0	0	0	0	ground	0	ground	0	-1	0
0.007	-0.524701	-0.019782	-1.11178	-0.522851	0.374345	0.491135	1	1	1	1	0	0	0	0	0	0	99	0	0	0.0245567	0.0321522	-0.0075955	ground	0	ground	0	-1	0
0.026	-0.694632	0.001092	-0.574494	-0.689318	0.393243	1.02328	1	1	1	1	0	0	0	0	0	0	99	0	0	0.0744929	0.0702246	0.00426834	ground	0	ground	0	-1	0
0.046	0.215091	-0.279173	-0.866271	0.219303	0.112413	0.727845	1	1	1	1	0	0	0	0	0	0	99	0	0	0.107161	0.0790351	0.0281254	ground	0	ground	0	-1	0
0.065	0.306169	-0.727351	0.415658	0.308829	-0.334086	1.99973	1	1	1	1	0	0	0	0	0	0	99	0	0	0.201789	0.0978314	0.103957	ground	0	ground	0	-1	0
0.084	-0.464614	-1.07466	0.817377	-0.459644	-0.677992	2.38944	1	1	1	1	0	0	0	0	0	0	99	0	0	0.311171	0.133895	0.177276	ground	0	ground	0	-1	0
0.103	-1.01381	-0.872354	-0.152207	-1.0038	-0.473304	1.41275	1	1	1	1	0	0	0	0	0	0	99	0	0	0.36625	0.18269	0.18356	ground	0	ground	0	-1	0
0.122	-1.32077	-0.262367	-0.581787	-1.3042	0.136	0.978258	1	1	1	1	0	0	0	0	0	0	99	0	0	0.396851	0.239119	0.157732	ground	0	ground	0	-1	0
0.142	-1.1455	0.249678	-0.411636	-1.12329	0.644804	1.14267	1	1	1	1	0	0	0	0	0	0	99	0	0	0.434142	0.291923	0.142218	ground	0	ground	0	-1	0
0.161	-0.364053	0.200783	-0.028582	-0.340131	0.59293	1.51809	1	1	1	1	0	0	0	0	0	0	99	0	0	0.488339	0.311505	0.176834	ground	0	ground	0	-1	0
0.181	0.530543	-0.18276	0.598448	0.551693	0.20834	2.1344	1	1	1	1	0	0	0	0	0	0	99	0	0	0.570642	0.325416	0.245226	ground	0	ground	0	-1	0
0.201	0.868899	-0.293776	0.124842	0.885598	0.0968374	1.65249	1	1	1	1	0	0	0	0	0	0	99	0	0	0.624734	0.353689	0.271045	ground	0	ground	0	-1	0
0.218	0.343405	-0.152103	-0.935696	0.358304	0.237318	0.588989	1	1	1	1	0	0	0	0	0	0	99	0	0	0.622947	0.357493	0.265454	ground	0	ground	0	-1	0
0.238	0.274195	-0.182081	-0.905279	0.287648	0.206303	0.616309	1	1	1	1	0	0	0	0	0	0	99	0	0	0.622615	0.357317	0.265298	ground	0	ground	0	-1	0
0.257	0.726775	-0.246791	-0.575888	0.736527	0.140885	0.940972	1	1	1	1	0	0	0	0	0	0	99	0	0	0.638533	0.376945	0.261587	ground	0	ground	0	-1	0
