stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	0.862	-0.140874	4.55991	0.970032	0.970032	2.02614	3.7037	0.547057	1.54253	0	99	1	0	1	1	0.703067	0.126097	0	ground	0	ground
2	1.353	0.054486	0.96561	0.946586	0.958309	2.67157	1.85529	1.43998	1.7267	3.5996	99	1	1.99446	1.44937	0.667491	0.757817	0.0197988	0.112343	ground	0	ground
3	1.936	0.660891	2.11821	0.762193	0.892937	2.04115	1.73611	1.1757	1.40097	1.30239	2.36201	1.91877	0.838307	1.08399	0.768938	0.731369	0.0145732	0.105254	ground	0	ground
4	2.478	0.530957	2.29391	0.812042	0.872713	2.86809	1.79211	1.60039	2.64803	0.218524	1.80521	1.18912	0.246624	1.1921	0.885013	0.733029	0.0321678	0.126965	ground	0	ground
5	3.038	0.0577471	3.21698	0.982366	0.894644	2.39752	1.99601	1.20116	1.25752	1.03729	1.53768	1.0064	1.07863	0.944434	0.9928	0.816769	0.0360747	0	ground	0	ground
6	3.557	1.83924	4.2624	0.698566	0.84035	3.87048	1.73913	2.22553	4.51109	2.06558	1.65378	1.03957	1.36466	1.27269	0.927632	0.764635	0.0672826	0.129172	ground	0	ground
7	4.206	-2.14471	5.63344	0.724265	0.795886	3.4783	1.99601	1.74263	5.90096	4.21326	3.42062	1.36512	1.4714	0.998267	1.03131	0.668174	0.055692	0	ground	0	ground
8	4.668	2.70443	13.4834	0.832934	0.810034	6.43253	1.62602	3.95601	8.72198	9.22687	18.8369	1.76519	1.52632	1.38767	0.913127	0.82286	0.0549124	0.169251	ground	0	ground
9	5.229	0.939575	3.81446	0.802362	0.808099	4.98171	2.26757	2.19693	2.67286	9.82864	17.1036	1.23159	1.23835	0.870458	1.12026	0.902733	0.0976242	0	ground	0	ground
10	5.748	0.697569	11.0401	0.94057	0.79974	8.0556	1.5748	5.1153	7.55272	7.22973	17.8365	1.12448	0.953373	1.33923	0.875147	0.893729	0.134409	0.155722	ground	0	ground
11	6.2	-0.063518	1.8018	0.965947	0.853216	6.83514	2.1645	3.15784	3.22055	9.26963	21.9301	1.16056	1.10006	0.905157	1.09209	0.935505	0.132769	0	ground	0	ground
12	6.79	-0.027361	9.4115	0.997101	0.907783	7.37018	1.6835	4.37789	16.155	7.60978	20.4545	1.0396	0.949072	1.11303	0.918569	0.769734	0.0871905	0	ground	0	ground
13	7.259	-0.767172	4.11509	0.842865	0.909769	6.15617	2.1645	2.84415	3.00033	5.34783	12.9661	0.794457	0.800217	0.839298	1.083	0.926495	0.0812944	0	ground	0	ground
14	7.852	1.07321	5.48581	0.836377	0.916572	5.27736	1.68067	3.14003	4.73674	2.29475	11.9722	0.846304	0.511209	0.961908	0.913584	0.85378	0.32562	0	ground	0	ground
15	8.414	-0.823344	0.424163	0.340008	0.79646	4.31747	1.79211	2.40915	2.15452	5.40529	10.2332	0.83949	1.09262	0.84926	0.986912	0.895461	0.087578	0	ground	0	ground
16	8.972	-0.800975	3.90561	0.829818	0.769234	4.69948	1.79211	2.62231	4.25898	3.48152	8.95302	0.754501	0.725238	0.931444	0.988205	0.838268	0.0860859	0	ground	0	ground
17	9.529	-1.53458	1.10686	0.419036	0.653621	4.59573	2	2.29786	2.90491	2.8933	4.44968	0.399989	0.627641	0.831483	1.09161	0.878614	0.0857679	0	ground	0	ground
18	10.088	0.541893	1.82119	0.770684	0.639185	4.56197	1.62602	2.80561	4.90479	2.19591	4.44656	0.425235	0.50268	1.01367	0.897588	0.808688	0.138761	0	ground	0	ground
19	10.629	-0.954581	1.26075	0.569103	0.58573	3.39765	1.85185	1.83473	3.01976	1.59798	1.87597	0.195442	0.390573	0.686016	1.01998	0.79265	0.12849	0	ground	0	ground
20	11.205	0.589212	5.21663	0.898514	0.697431	5.5264	1.73611	3.1832	6.77665	4.24644	3.35557	0.373908	1.03398	1.168	0.960437	0.81826	0.250113	0.475297	ground	0	ground
