stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	0.6	0.0703312	1.48166	0.954683	0.954683	1.68746	3.57143	0.472489	0.159568	0	99	1	0	1	1	0.946934	0.324725	0	ground	0	ground
2	1.16	0.378441	1.14884	0.752211	0.853447	1.74221	1.78571	0.975637	0.144118	0.453548	99	1	1.95685	1.34745	0.666667	0.954668	0.161436	0	ground	0	ground
3	1.72	0.230594	1.324	0.851669	0.852854	1.75102	1.78571	0.980571	0.169714	0.229223	0.0343099	0.510907	0.994466	1.15048	0.8	0.947534	0.109532	0.102766	ground	0	ground
4	2.28	0.143822	1.51923	0.913519	0.868021	1.75049	1.85185	0.945267	0.233346	0.213643	0.0345929	0.679973	0.962049	1.05171	0.906883	0.929203	0.138635	0	ground	0	ground
5	2.82	0.249453	0.999381	0.80025	0.854467	1.80265	1.78571	1.00949	0.165702	0.530476	0.0497713	0.989045	1.40982	1.05801	0.933045	0.951477	0.0640016	0	ground	0	ground
6	3.38	-0.181963	1.25894	0.873716	0.838273	1.72452	1.78571	0.965733	0.199738	0.50348	0.0657814	1.13315	1.14459	1.00604	0.965363	0.937061	0.0669396	0	ground	0	ground
7	3.94	-0.438493	1.31371	0.749746	0.83778	1.72234	1.78571	0.96451	0.169957	0.262311	0.100184	1.26626	0.747125	1.00238	0.982376	0.945787	0.0936726	0	ground	0	ground
8	4.5	-0.163132	1.51526	0.902804	0.848007	1.74223	1.85185	0.940806	0.201266	0.341245	0.0977636	1.10541	0.985775	0.988746	1.00929	0.937813	0.0993586	0	ground	0	ground
9	5.04	-0.187403	1.37454	0.880018	0.841307	1.80381	1.85185	0.974056	0.092041	0.142801	0.0778139	0.936081	0.584089	1.01171	1.00463	0.972486	0.095555	0	ground	0	ground
10	5.6	0.0862904	1.29812	0.937669	0.868791	1.72014	1.72414	0.997683	0.145519	0.284163	0.0356435	0.600206	1.07505	1.0178	0.96659	0.953084	0.107504	0	ground	0	ground
11	6.16	-0.181024	1.42573	0.887335	0.871515	1.7573	1.78571	0.984085	0.135846	0.296212	0.0338767	0.726484	1.05689	1.00196	1.00056	0.957858	0.0591081	0	ground	0	ground
12	6.72	0.315676	1.33985	0.80932	0.883429	1.77923	1.85185	0.960784	0.220681	0.504068	0.0452802	0.985302	1.28534	0.988998	1.01846	0.934737	0.0471691	0	ground	0	ground
