stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	0.844	0.645429	1.92507	0.748909	0.748909	1.6806	3.57143	0.470567	1.48141	0	99	1	0	1	1	3.03129e-314	0.562601	0.301517	0.1	ground	0	ground
2	1.386	-0.683608	1.22247	0.641353	0.695131	1.45269	1.61031	0.902119	0.493856	1.50333	99	1	1.98678	1.31438	0.621532	3.03129e-314	0.597867	0.178131	0.1	ground	0	ground
3	2.008	-1.66367	1.45775	0.467014	0.619092	1.20721	1.61812	0.746056	0.915899	1.00791	0.98069	5.21452	1.28924	1.07763	0.648912	0.344437	0.357837	0.0871045	0	ground	0	ground
4	3.067	-2.06669	1.92093	0.481723	0.58475	1.6	0.926784	1.7264	3.25698	0.613973	1.18497	4.11793	0.802572	2.1696	0.396585	0.46245	0.384659	0.139187	0	ground	0	ground
5	3.646	0.726338	1.3119	0.643644	0.596529	1.46522	2.63158	0.556782	2.11284	2.85866	1.40974	3.52472	2.93385	0.721381	1.11207	0.534174	0.496242	0.145326	0	ground	0	ground
6	4.206	-0.491153	1.45947	0.748207	0.596388	1.24477	1.35318	0.919886	1.76983	1.2264	1.01449	2.19867	1.22692	1.16939	0.597415	0.89587	0.428185	0.180566	0.1	ground	0	ground
7	4.805	0.441661	2.41598	0.845445	0.637207	2.07473	1.85529	1.11828	1.34328	1.33605	1.39316	2.51208	1.29309	1.36409	0.834181	0.871861	0.758814	0.014087	0.6	ground	0	ground
8	5.323	-0.839974	2.8673	0.773425	0.698489	2.94066	1.72414	1.70558	2.84193	1.35878	1.32865	2.10232	1.27492	1.87762	0.79304	0.870208	0.747192	0.0882942	0.2	ground	0	ground
9	5.942	0.433399	5.93621	0.931958	0.788536	2.73792	1.85529	1.47574	2.45423	3.32261	3.16838	3.57754	2.57275	1.52908	0.866063	0.989809	0.752751	0.0834704	0.6	ground	0	ground
10	6.425	1.08081	3.64742	0.771413	0.81409	4.72017	1.85185	2.54889	15.319	2.37859	2.76807	2.57765	1.69878	2.26873	0.876338	0.991102	0.588982	0.300292	0.3	ground	0	ground
11	7.001	0.467399	6.7272	0.935035	0.851455	3.39658	1.92308	1.76622	4.14323	3.14027	3.3137	2.55321	1.99486	1.48701	0.918304	0.973585	0.733436	0.2577	0.3	ground	0	ground
12	7.504	-0.500309	1.20787	0.707109	0.823788	5.07135	1.79211	2.82981	6.54478	5.60352	4.56162	2.80848	2.83419	2.0931	0.86829	0.973806	0.795161	0.224074	0.3	ground	0	ground
13	8.141	1.42733	3.76187	0.724942	0.814091	2.33322	1.85185	1.25994	3.4558	3.1998	4.20112	2.23235	1.52416	0.938316	0.90655	0.977919	0.610786	0.0339971	0.3	ground	0	ground
14	8.62	0.0812191	1.67812	0.953835	0.818467	3.21055	1.7301	1.8557	9.78205	2.48073	4.28127	2.0177	1.16056	1.33115	0.860114	0.97892	0.507344	0.026064	0	ground	0	ground
15	9.24	1.1329	0.91094	0.4457	0.753324	2.26766	1.92308	1.17918	3.59001	1.30177	5.2258	2.14854	0.63379	0.859106	0.96027	0.976223	0.585662	0.236053	0	ground	0	ground
16	10.277	1.01263	2.27204	0.69171	0.704659	1.45894	0.909918	1.60337	3.52972	1.36641	1.54068	0.657542	0.688299	1.14883	0.480581	0.637509	0.375356	0.084237	0.25	ground	0	ground
17	10.757	-0.844873	2.95476	0.777643	0.718766	2.12359	1.85529	1.14462	3.543	1.979	1.67396	0.735426	0.997191	0.835152	0.981861	0.652888	0.546086	0.253022	0.25	ground	0	ground
18	11.336	-0.525894	2.3062	0.814309	0.736639	1.71145	2.38663	0.717098	0.965706	0.722757	1.10507	0.511825	0.388915	0.549415	1.23069	0.634601	0.750558	0.25634	0.6	ground	0	ground
19	11.835	-0.173018	2.78462	0.941501	0.734173	2.43808	1.51745	1.60669	4.16009	0.594482	1.16718	0.566627	0.343234	1.2032	0.799885	0.611467	0.584709	0.0557359	0.4	ground	0	ground
20	12.408	0.529519	1.86879	0.779211	0.800875	2.21172	2.00401	1.10365	1.3911	1.15426	0.616446	0.321813	0.689428	0.84108	1.05044	0.620903	0.778586	0.0679203	0.8	ground	0	ground
21	12.89	-1.3235	2.62799	0.665064	0.795546	2.56783	1.78571	1.43799	5.44193	2.00251	0.539829	0.303622	1.17308	1.08547	0.942045	0.990799	0.547489	0.0518665	0.6	stair	0	ground
22	13.533	0.494555	0.919915	0.65036	0.770089	1.89759	1.85529	1.0228	3.90529	2.49456	0.923967	0.519676	1.46133	0.772063	0.978748	0.990755	0.478141	0.109469	0.2	stair	0	ground
23	14.011	-0.660781	1.03025	0.609242	0.729075	3.13281	1.72712	1.8139	8.58009	1.16059	1.1005	0.618963	0.67988	1.36923	0.911131	0.991372	0.532742	0.227417	0.05	ground	0	ground
24	14.651	1.07693	3.37221	0.757947	0.692365	2.81273	1.85529	1.51606	7.2151	2.91623	1.65306	0.936326	1.59534	1.12811	0.980832	0.990716	0.522886	0.166696	0	ground	0	ground
25	15.113	-0.310515	2.30868	0.881446	0.712812	3.08217	1.78571	1.72602	7.43048	1.74817	1.61012	0.920101	0.960535	1.24883	0.949363	0.982757	0.554272	0.145898	0	ground	0	ground
26	15.729	2.0561	2.05095	0.499373	0.679674	1.57732	2.50627	0.629352	2.67973	2.38061	1.76428	1.00737	1.26894	0.481587	1.28957	0.981001	0.475905	0.165836	0	ground	0	ground
27	16.207	-0.783856	0.308942	0.282707	0.606143	3.26507	1.43062	2.28229	6.73156	3.33166	2.35269	1.29875	1.64802	1.62513	0.756058	0.977859	0.608997	0.14337	0.3	ground	0	ground
28	16.687	-0.392394	-0.974251	0.712878	0.62687	2.55599	2.09205	1.22176	3.02044	1.34158	3.53515	1.78194	0.686717	0.88143	1.09406	0.96709	0.682368	0.159577	0.3	ground	0	ground
29	17.269	-1.10004	0.926363	0.457147	0.56671	2.41274	1.72712	1.39698	4.21509	2.02808	2.68303	1.30638	1.03418	1.00705	0.912041	0.929453	0.579818	0.162086	0	ground	0	ground
