stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	0.598	-1.7803	1.2063	0.403904	0.403904	2.60509	4.16667	0.62522	2.68514	0	99	1	0	1	1	3.01549e-314	0.527768	0.461723	0	ground	0	ground
2	1.141	0.366961	-0.869371	0.703185	0.553545	1.80138	1.61031	1.11865	2.61417	2.98649	99	1	1.99333	1.28295	0.557491	3.01549e-314	0.361341	0.225075	0	ground	0	ground
3	2.882	0.934288	-0.205916	0.180596	0.429228	1.40195	0.567537	2.47024	1.44303	0.872944	2.11605	7.01597	0.60802	2.39419	0.21365	0.97301	0.319866	0.233289	0.3	ground	0	ground
4	3.502	-0.327668	1.41285	0.811741	0.524857	1.82103	1.6129	1.12904	2.52251	2.05255	1.94383	4.17285	1.37074	1.08406	0.632005	0.773681	0.492679	0.344087	0.1	ground	0	ground
5	4.002	0.518484	-0.491615	0.486699	0.517225	1.79354	1.78571	1.00438	1.21807	2.08398	1.76127	2.95827	1.33927	0.967815	0.721381	0.796584	0.700205	0.273604	0.5	ground	0	ground
6	4.603	-2.00004	2.08494	0.510392	0.538522	1.80493	1.84502	0.978271	1.3889	3.603	2.39393	3.08803	2.04629	0.948091	0.764816	0.641567	0.668427	0.13597	0.5	ground	0	ground
7	5.102	0.700531	0.751277	0.517476	0.501381	1.74986	1.85185	0.944924	1.60904	3.01193	2.08057	2.29704	1.59711	0.923552	0.785909	0.578241	0.646042	0.151167	0.4	ground	0	ground
8	5.665	0.597746	-0.170641	0.222077	0.509677	1.1547	2.17865	0.530005	0.701067	0.92763	1.9555	1.93473	0.518216	0.544249	0.931623	0.64447	0.577519	0.182059	0.3	ground	0	ground
9	6.244	0.731576	1.00316	0.578277	0.462984	1.15734	1.46843	0.78815	0.956413	1.1814	1.95236	1.76701	0.683216	0.825063	0.652189	0.737242	0.56489	0.354626	0.3	ground	0	ground
10	6.846	0.0791614	0.693883	0.897597	0.545164	0.986409	2.1692	0.454735	0.710892	0.722008	1.60182	1.38735	0.443368	0.502354	0.966965	0.792278	0.544941	0.160096	0.1	ground	0	ground
11	7.366	1.39943	0.42099	0.231259	0.489337	1.26163	1.47275	0.856644	1.25824	1.34818	0.337619	0.314681	0.842383	0.951455	0.679863	0.920746	0.536009	0.217179	0.8	ground	0	ground
12	7.981	0.573868	0.453218	0.441266	0.474095	1.40713	1.78571	0.787993	0.947395	0.826194	0.329237	0.329723	0.542474	0.886266	0.839074	0.985258	0.665427	0.097928	0.8	stair	0	ground
13	8.564	1.38623	0.242379	0.148826	0.459445	1.21029	1.60256	0.755223	1.40449	0.839274	0.323699	0.324176	0.551062	0.849409	0.753015	0.960572	0.508531	0.162713	0.4	stair	0	ground
