stepIdx	time_s	localFwdY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	dirR1	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	0.704	0.121498	3.62186	0.967543	0.967543	1.63449	4.56621	0.357953	0.808523	0	99	1	0	1	1	3.03184e-314	0.635406	0.227299	0	ground	0	ground
2	1.206	-0.0288074	2.19257	0.987031	0.977287	2.15729	1.78571	1.20808	2.85133	1.43717	99	1	1.98618	1.54285	0.562259	3.03184e-314	0.518023	0.321946	0	ground	0	ground
3	1.767	0.43197	1.78769	0.805389	0.919988	1.83616	2	0.918078	0.644397	0.613386	0.65581	4.21523	0.860813	1.15261	0.653944	0.811932	0.801247	0.203517	0.4	ground	0	ground
4	2.288	0.791936	1.93968	0.710085	0.867512	2.18737	1.66945	1.31023	1.95407	0.39074	0.629484	3.10135	0.574293	1.54528	0.571832	0.709308	0.655929	0.0967535	0.4	ground	0	ground
5	2.947	1.76567	1.61687	0.478005	0.789611	2.10706	2	1.05353	3.26971	1.02585	0.928275	3.3694	1.43489	1.2131	0.707332	0.767446	0.553324	0.198465	0	ground	0	ground
6	3.524	-0.576464	1.8372	0.761166	0.748335	1.89669	1.42857	1.32769	2.00484	2.35247	0.661645	2.10637	2.67727	1.45201	0.531535	0.859229	0.602424	0.201861	0.1	ground	0	ground
7	4.665	-1.05116	1.04348	0.498166	0.650562	0.893019	1.35135	0.660834	1.19926	0.92484	1.10087	2.80269	1.04703	0.743324	0.529111	0.796362	0.300134	0.108884	0	ground	0	ground
8	5.165	-0.250625	1.04315	0.806283	0.650741	1.03378	1.0661	0.969689	1.34627	0.800532	1.17805	2.49948	0.914869	1.08093	0.443245	0.804559	0.331512	0.131765	0.2	ground	0	ground
9	5.885	0.0479786	2.24333	0.97906	0.704536	1.51303	1.39082	1.08787	1.60717	1.23677	1.14	2.11823	1.3573	1.18741	0.603714	0.689509	0.585367	0.210567	0	ground	0	ground
10	6.466	-0.48239	1.1419	0.703015	0.749538	1.83298	1.78891	1.02463	1.41378	1.22247	0.373938	0.716684	1.29729	1.1053	0.794263	0.676345	0.685604	0.144188	0.65	ground	0	ground
11	6.998	0.533548	0.693403	0.565142	0.710333	1.57756	1.78891	0.881858	1.31469	1.11053	0.558067	1.06219	1.15784	0.955943	0.810947	0.843135	0.646341	0.169353	0.4	ground	0	ground
12	7.579	-0.603684	0.620515	0.506874	0.712075	1.28026	1.78571	0.716943	1.81642	1.13957	0.505708	0.966154	1.16617	0.794886	0.82522	0.66641	0.469036	0.223006	0	ground	0	ground
13	8.118	-0.0514136	1.60549	0.96897	0.744612	1.96354	1.85185	1.06031	1.19927	1.12924	0.53103	1.01306	1.1379	1.1553	0.868306	0.657802	0.760962	0.0864388	0.5	ground	0	ground
14	8.622	-0.748699	0.602762	0.446007	0.638002	1.61899	1.92678	0.840257	1.57184	1.22134	0.367815	0.723266	1.20295	0.92333	0.912248	0.79133	0.614567	0.0893349	0.55	ground	0	ground
15	9.173	0.262125	1.38481	0.84084	0.665567	1.42046	1.79211	0.792614	1.13851	1.27803	0.423165	0.846315	1.22703	0.882362	0.861542	0.760775	0.637245	0.135237	0.45	ground	0	ground
16	9.675	-0.701806	2.24904	0.762168	0.704972	1.5041	2	0.752049	1.49323	1.29463	0.551589	1.09189	1.21348	0.851058	0.965199	0.766472	0.591127	0.0902247	0.3	ground	0	ground
17	10.308	-0.16884	1.93748	0.919841	0.787565	1.10835	2.2779	0.486567	0.874604	0.617353	0.464468	0.926903	0.604112	0.576533	1.08851	0.85783	0.58288	0.0495481	0.2	ground	0	ground
18	10.813	-0.402773	0.974622	0.707583	0.735288	1.26686	1.56495	0.809521	0.85351	0.990865	0.503021	1.00345	0.972569	0.963131	0.767162	0.891916	0.643609	0.204395	0.4	ground	0	ground
