stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	0.486	0.530886	-0.665014	0.556078	0.556078	1.90631	2.33645	0.815902	1.24234	0	99	1	0	1	1	0.513202	0.460452	0	ground	0	ground
2	3.1	0.315957	-0.674439	0.680979	0.618528	1.33671	5.2356	0.255312	1.29298	0.215136	99	1	1.91116	0.476677	1.38288	0.268817	0.0500072	0	ground	0	ground
3	3.773	-0.124037	-0.266608	0.682479	0.639845	1.08589	1.36986	0.792703	0.465581	0.599935	0.110429	1.04956	1.68402	1.19355	0.531378	0.645927	0.0974217	0	ground	0	ground
4	4.176	0.121489	-0.705475	0.85309	0.693156	0.90778	2.48139	0.365835	0.421309	0.50288	0.0909231	0.927137	1.17067	0.710366	0.980916	0.388686	0.107034	0	ground	0	ground
5	5.81	0.173669	0.738604	0.809629	0.716451	1.28705	0.619195	2.07859	1.07625	1.44502	0.350265	1.56252	1.5417	1.60287	0.393282	0.566895	0.241809	0	ground	0	ground
6	6.406	0.288043	0.141655	0.329661	0.671168	1.48526	1.73611	0.855511	1.05564	0.607807	0.318951	1.17452	0.786754	0.794973	1.04884	0.638659	0.205512	0	ground	0	ground
7	6.925	0.671839	1.40046	0.675799	0.670132	1.78629	1.85874	0.961025	1.30431	1.31601	0.618392	1.38972	1.26021	0.943487	1.0579	0.705896	0.211467	0	ground	0	ground
8	7.54	-0.0242352	0.989522	0.976093	0.728854	1.40707	1.67504	0.840019	0.94857	0.808322	0.592999	1.14261	0.872635	0.903923	0.976119	0.669785	0.137557	0	ground	0	ground
9	8.059	0.265291	1.15455	0.813154	0.720867	1.82299	1.79533	1.01541	1.75765	0.333255	0.236165	0.625476	0.529162	1.04428	1.02259	0.652662	0.206692	0	ground	0	ground
10	8.617	0.169227	-0.240282	0.586755	0.676292	1.53076	2.26757	0.675063	0.934001	1.39813	0.446968	1.08416	1.37889	0.81954	1.12723	0.71007	0.254311	0	ground	0	ground
11	9.174	0.436549	1.67939	0.793685	0.769097	2.05525	1.48368	1.38524	2.29696	1.9382	0.49289	1.08907	1.31307	1.25421	0.848956	0.647752	0.138522	0	ground	0	ground
12	9.712	0.371602	0.295073	0.442604	0.722458	1.90863	1.92678	0.990581	1.39041	1.38584	0.480095	1.0295	0.96847	0.945638	1.04875	0.718842	0.164308	0	ground	0	ground
13	10.25	0.375824	1.6698	0.816279	0.690495	1.94207	1.79533	1.08174	1.42837	1.37474	0.595071	1.12129	0.979963	1.01607	0.988469	0.725298	0.13602	0	ground	0	ground
14	10.847	0.323468	2.33639	0.878389	0.703542	1.77578	1.85874	0.955369	1.34172	0.66864	0.932535	1.27462	0.645565	0.94591	1.01155	0.700283	0.188281	0	ground	0	ground
15	11.346	0.759816	1.14375	0.600846	0.70636	2.02494	1.79211	1.12991	1.86045	1.26995	0.486976	0.799241	1.10158	1.05604	0.987494	0.685102	0.190171	0	ground	0	ground
16	11.942	1.03895	2.06577	0.665364	0.680696	1.62862	1.85874	0.876199	2.47499	0.963341	0.604185	0.992442	0.849583	0.834014	1.02173	0.512261	0.221407	0	ground	0	ground
17	12.461	2.46339	0.84781	0.256043	0.643384	2.42693	1.7331	1.40034	4.1877	1.87415	0.916985	1.43367	1.55155	1.28997	0.957202	0.574658	0.105559	0	ground	0	ground
18	12.999	-1.2227	4.91238	0.800703	0.640269	4.81128	1.85874	2.58847	11.5632	5.48708	3.47635	3.76522	3.35429	2.09449	1.02387	0.662879	0.265204	0.307666	ground	0	ground
19	13.443	2.64807	0.809624	0.234152	0.511422	3.98679	2.47525	1.61066	5.88125	5.64052	4.34339	3.43272	2.76998	1.26492	1.31565	0.729417	0.156473	0.29698	ground	0	ground
20	14.095	0.372507	6.39568	0.944962	0.580245	2.49378	1.44718	1.72321	4.59406	6.03176	7.13307	3.8514	2.47624	1.30713	0.787379	0.57478	0.126518	0.299516	stair	0	ground
21	14.614	0.104181	1.96483	0.949646	0.637101	4.4324	2.26244	1.95912	7.90092	4.43896	7.32036	3.95253	1.82234	1.48608	1.23095	0.712997	0.0992609	0.346156	stair	0	ground
22	15.133	-0.364453	0.468664	0.562542	0.698401	3.21473	1.79211	1.79382	3.69625	1.56784	7.14827	3.85961	0.643653	1.36069	0.975051	0.735353	0.114106	0.349789	stair	0	ground
23	15.691	0.155877	2.86732	0.948439	0.727948	1.9838	1.85185	1.07125	4.63423	2.45444	5.6399	3.04519	1.00763	0.81259	1.00755	0.458759	0.138861	0.215489	stair	0	ground
24	16.228	-1.64881	2.23945	0.575951	0.796308	2.31904	2.00401	1.1572	2.89939	1.91079	4.4047	2.37826	0.784444	0.877785	1.09034	0.647454	0.157997	0.131063	stair	0	ground
25	16.824	-0.817959	6.78179	0.89237	0.78579	3.91538	1.49031	2.62722	5.10393	4.6177	4.90375	2.64771	1.89572	1.99286	0.810847	0.750082	0.168568	0.346513	stair	0	ground
