stepIdx	time_s	pureY	pureZ	zEnergyFrac	zEF_avg5	procRmsZ	stepFreqHz	rmsZdivFreq	stepVarH	dmag	recentStepVarYZ	varYZRatio	dmagRatio	zfRatio	freqRatio	energyFracZ	zPeakYRatio	stairConfidence	fsmLabel	armSpin	floorGT
1	1.353	0.097338	0.972358	0.909003	0.909003	1.8702	1.44509	1.29418	2.65832	0	99	1	0	1	1	0.405935	0.750188	0	ground	0	ground
2	4.198	0.908285	0.318262	0.259478	0.584241	1.04885	3.71747	0.28214	0.782002	1.04186	99	1	1.98099	0.357973	1.44017	0.394133	0.117236	0	ground	0	ground
3	5.236	0.62786	0.887012	0.585536	0.584672	0.954185	1.001	0.953231	1.04289	0.634125	0.19737	1.32744	1.09327	1.09479	0.558862	0.42757	0.0795286	0	ground	0	ground
4	5.871	0.519613	1.34015	0.720603	0.618655	1.70815	1.44509	1.18204	1.42382	0.465892	0.218894	1.191	0.890875	1.15167	0.893069	0.663859	0.0872818	0	ground	0	ground
5	6.391	1.48483	2.18753	0.595675	0.614059	2.39974	1.79211	1.33905	2.26057	1.2844	0.592242	1.52633	1.4213	1.13219	1.05102	0.712068	0.439245	0	ground	0	ground
6	6.947	0.515024	2.78068	0.843728	0.601004	2.57379	1.79533	1.4336	2.00377	1.13681	0.916031	1.40491	1.11425	1.09589	1.02577	0.765307	0.113575	0	ground	0	ground
7	7.466	1.06159	1.3013	0.550725	0.659253	2.47705	1.85529	1.33513	1.67982	1.57711	0.614618	0.970469	1.2144	1.0102	1.02914	0.782493	0.0862204	0	ground	0	ground
8	8.042	0.905769	0.968565	0.516751	0.645496	1.48172	2.079	0.712709	1.32673	0.367413	0.577761	0.954123	0.441048	0.700674	1.07117	0.612951	0.116864	0	ground	0	ground
9	8.581	0.741189	1.40915	0.655314	0.632439	1.40786	1.57978	0.891176	1.36094	0.470318	0.542535	0.945121	0.721698	0.933975	0.897434	0.577253	0.281187	0	ground	0	ground
10	9.119	0.600103	1.22737	0.671621	0.647628	1.35107	1.92308	0.702556	0.808955	0.230103	0.447129	0.875722	0.521904	0.848123	1.04418	0.689153	0.0671197	0	ground	0	ground
11	9.677	-0.030985	1.11169	0.972883	0.673459	1.48853	1.85874	0.800831	1.20692	0.641602	0.165052	0.488584	1.18541	0.983099	1.0046	0.646655	0.304091	0	ground	0	ground
12	10.215	0.968549	1.4366	0.597302	0.682774	1.76255	1.79211	0.983502	1.23448	1.05102	0.159542	0.641556	1.32015	1.09393	0.984047	0.713676	0.0471589	0	ground	0	ground
13	10.753	0.103706	1.76643	0.944546	0.768333	1.82942	1.79533	1.01899	1.21166	0.925601	0.194421	0.877548	1.0752	1.06253	0.992856	0.732285	0.18835	0	ground	0	ground
14	11.349	0.717011	1.04647	0.593412	0.755953	1.4824	1.85874	0.797529	1.39236	0.945768	0.210259	0.973849	1.04699	0.908064	1.01377	0.608265	0.223597	0	ground	0	ground
15	11.887	0.689178	1.72193	0.714165	0.764462	1.97683	1.67785	1.17819	1.57915	0.676027	0.237366	1.04735	0.856085	1.14584	0.955675	0.712092	0.392693	0	ground	0	ground
16	12.425	0.481967	2.02641	0.807856	0.731456	2.23413	1.92308	1.16175	1.71094	0.368299	0.194975	0.872491	0.492685	1.11537	1.085	0.744304	0.0866397	0	ground	0	ground
17	12.963	0.37553	2.66526	0.876502	0.787296	1.9408	1.79856	1.07909	1.58018	0.647659	0.323386	1.38518	0.878126	1.03229	1.01326	0.700299	0.0661854	0	ground	0	ground
18	13.521	0.552437	1.2015	0.68503	0.735393	1.84875	2.25734	0.818995	1.36387	1.47441	0.358117	1.4562	1.81749	0.800816	1.23808	0.714742	0.0787381	0	ground	0	ground
19	14.079	0.649269	2.1872	0.771099	0.770931	1.98112	1.4881	1.33131	2.03491	0.990445	0.249944	1.01468	1.19452	1.26363	0.831458	0.655928	0.287595	0	ground	0	ground
20	14.617	0.823563	1.59028	0.658817	0.759861	1.92156	1.85874	1.0338	1.51818	0.621848	0.275665	1.10593	0.76921	0.983088	1.03456	0.70678	0.303412	0	ground	0	ground
21	15.193	0.354579	2.16015	0.858998	0.770089	2.13754	1.7331	1.23336	2.20875	0.738032	0.29088	1.1478	0.920946	1.15293	0.968058	0.664938	0.2796	0	ground	0	ground
22	15.713	0.791366	1.87518	0.703224	0.735434	1.88341	1.92678	0.977488	1.10099	0.521527	0.166616	0.680781	0.674331	0.921693	1.0681	0.762335	0.307664	0	ground	0	ground
23	16.289	0.334796	2.07651	0.861155	0.770659	1.73809	1.7331	1.00288	1.89634	0.49899	0.0933416	0.406535	0.668925	0.950801	0.964521	0.610109	0.305742	0	ground	0	ground
24	16.865	0.488992	0.723317	0.596643	0.735767	1.99404	1.92678	1.03491	1.33473	1.36195	0.313992	1.31906	1.6865	0.983019	1.06461	0.748215	0.0488175	0	ground	0	ground
25	17.385	0.692809	1.54957	0.691038	0.742212	2.16501	1.7331	1.24921	1.97159	0.851017	0.304682	1.24509	1.04818	1.16485	0.961674	0.70144	0.337533	0	ground	0	ground
26	17.923	0.490872	1.85736	0.79096	0.728604	1.64139	1.85874	0.883068	1.2142	0.368121	0.254099	1.03442	0.479621	0.838231	1.02816	0.689229	0.393863	0	ground	0	ground
27	18.481	0.227467	2.10175	0.902341	0.768428	2.04483	1.79533	1.13897	1.19628	0.359319	0.284404	1.1398	0.49445	1.07244	0.993775	0.777014	0.348918	0	ground	0	ground
28	19.038	0.283452	1.52886	0.843597	0.764916	1.57984	2.26244	0.698288	0.96273	0.575613	0.24425	0.980946	0.808905	0.680816	1.22151	0.721164	0.334206	0	ground	0	ground
29	19.557	0.153136	1.36024	0.898811	0.825349	1.53307	1.62602	0.942836	0.805283	0.213108	0.109015	0.463902	0.322039	0.926729	0.888752	0.743785	0.342107	0	ground	0	ground
30	20.133	0.466906	0.846115	0.644403	0.816022	1.47484	2	0.73742	1.09616	0.602312	0.203721	0.878608	0.918434	0.745332	1.08307	0.664913	0.299208	0	ground	0	ground
31	20.691	0.507057	1.62651	0.762342	0.810299	1.43822	1.53139	0.93916	0.973918	0.781425	0.183959	0.810114	1.16916	0.954079	0.843708	0.679258	0.274885	0	ground	0	ground
32	21.287	0.25625	1.19579	0.823524	0.794535	1.53955	1.79211	0.859066	1.32969	0.498417	0.0935494	0.43771	0.765182	0.883965	0.988601	0.640571	0.0697009	0	ground	0	ground
33	21.826	0.731086	1.85368	0.717155	0.769247	1.96043	1.7301	1.13313	1.91027	0.811344	0.161794	0.775874	1.21574	1.14693	0.958766	0.667256	0.338723	0	ground	0	ground
34	22.422	0.181997	2.33463	0.927682	0.775021	2.28995	1.79856	1.27321	2.34097	0.729943	0.304399	1.39557	1.0836	1.25256	0.997031	0.69136	0.092924	0	ground	0	ground
35	22.959	1.03314	0.908985	0.468035	0.739748	2.49072	1.7331	1.43714	2.89067	1.6604	0.346757	1.50123	2.14993	1.35765	0.96453	0.679038	0.0594405	0.113736	ground	0	ground
36	23.536	0.485851	1.43518	0.747087	0.736697	1.7493	1.7331	1.00934	1.81671	0.759215	0.349722	1.44004	0.984723	0.957966	0.967964	0.624434	0.073517	0	ground	0	ground
37	24.113	0.385491	0.677088	0.637211	0.699434	1.98477	1.73611	1.14322	2.01163	0.764704	0.453485	1.71827	0.992651	1.07588	0.972597	0.660783	0.248327	0	ground	0	ground
38	24.728	-0.0384126	1.25812	0.970372	0.750078	1.67604	1.79533	0.933552	2.18437	0.719233	0.455305	1.60852	0.939865	0.889362	1.00519	0.562511	0.481087	0	ground	0	ground
39	25.266	0.907345	0.102753	0.101726	0.584886	2.19378	1.67504	1.30969	2.00971	1.4931	0.367137	1.25962	1.78166	1.21754	0.943709	0.705078	0.182854	0	ground	0	ground
40	25.901	0.812886	1.56244	0.657779	0.622835	1.84981	1.62602	1.13763	1.17716	1.46274	0.409576	1.3505	1.62435	1.05153	0.92384	0.743388	0.292171	0	ground	0	ground
41	26.515	0.395158	0.890034	0.692529	0.611923	1.56094	1.73611	0.8991	1.06448	0.791599	0.365999	1.18236	0.889821	0.845333	0.987736	0.694627	0.211085	0	ground	0	ground
42	27.226	0.0684874	3.41725	0.980352	0.680552	1.75244	1.85529	0.944565	1.87844	2.54824	1.35477	3.27183	2.4143	0.898131	1.04971	0.618297	0.0392985	0	ground	0	ground
43	27.745	-22.9352	73.6611	0.762566	0.63899	26.5552	1.33333	19.9164	360.811	73.9147	922.826	9.95978	8.86119	6.7785	0.773387	0.65079	0.622251	1	ground	0	ground
44	28.342	-48.5924	73.8011	0.602982	0.739242	43.7668	2.17391	20.1327	1135.77	25.6575	1617.27	6.59796	2.54715	4.32253	1.22889	0.626221	0.229328	1	ground	0	ground
45	29.131	-43.1762	68.4508	0.61321	0.730328	33.4736	1.7331	19.3143	959.203	7.6132	1602.51	4.20766	0.774721	3.15423	0.981695	0.538161	0.330258	1	stair	0	ground
46	29.879	-55.6383	61.5095	0.525059	0.696834	33.9568	1.26904	26.758	995.199	14.2649	1125.48	2.95513	1.45159	4.36987	0.71883	0.536513	0.254452	1	stair	0	ground
47	30.629	-19.3323	26.1185	0.574655	0.615694	29.1681	1.30039	22.4303	617.686	50.7015	524.349	1.37676	5.1594	3.66311	0.73659	0.574528	0.149499	1	stair	0	ground
48	31.244	1.2355	1.4361	0.537541	0.570689	8.40598	1.36986	6.13637	24.035	32.1287	1223.27	3.21189	3.26943	1.00214	0.775943	0.725525	0.370849	1	stair	0	ground
49	31.917	-1.68558	1.81223	0.518104	0.553714	2.04863	1.33333	1.53647	2.5987	2.9452	1320.86	3.46812	0.299705	0.250922	0.755251	0.61463	0.111911	1	stair	0	ground
50	32.416	-0.684313	1.41196	0.673557	0.565783	1.87191	1.85874	1.00709	0.991643	1.07831	1017.06	2.67046	0.109729	0.164468	1.05286	0.753062	0.6689	0.66535	stair	0	ground
51	33.032	-0.129499	1.52671	0.92181	0.645133	1.70325	1.62866	1.0458	1.0131	0.566557	155.374	0.407958	0.057653	0.17079	0.922538	0.740709	0.109543	0.29171	stair	0	ground
52	33.589	-0.773731	1.23457	0.614732	0.653149	1.82271	1.78891	1.01889	0.980507	0.707378	0.960051	0.00252077	0.0719829	0.166396	1.01331	0.770952	0.069357	0	stair	0	ground
53	34.147	0.280327	1.19823	0.810404	0.707721	1.83815	1.73611	1.05878	1.26934	1.05468	0.491917	0.00129161	0.107325	0.17291	0.983399	0.726862	0.111951	0	stair	0	ground
54	34.685	0.333738	1.26605	0.791385	0.762378	1.51646	1.79211	0.846182	1.22196	0.0863254	0.232018	0.0006092	0.00878449	0.138191	1.01512	0.652088	0.111168	0	ground	0	ground
55	35.242	0.680656	0.319535	0.319474	0.691561	1.56934	1.91571	0.819193	0.7363	1.00809	0.416832	0.00121592	0.112697	0.146471	1.07597	0.769289	0.14676	0	ground	0	ground
56	35.8	0.144853	1.22779	0.894471	0.686093	1.70136	1.68634	1.0089	1.48656	1.05452	0.370425	0.00120046	0.129293	0.196496	0.952177	0.660668	0.369392	0	ground	0	ground
57	36.357	0.702647	0.674295	0.489704	0.661088	1.81911	1.79533	1.01324	0.893441	0.785808	0.192296	0.000692381	0.105918	0.214563	1.01233	0.787217	0.0707591	0	ground	0	ground
58	36.877	0.55758	0.964963	0.633783	0.625763	2.02383	1.85529	1.09084	1.66497	0.324857	0.172517	0.000690137	0.0484166	0.250239	1.04133	0.709482	0.05184	0	ground	0	ground
59	37.472	0.724077	0.636159	0.467682	0.561023	1.69205	1.73611	0.974623	1.13026	0.368555	0.142318	0.000632546	0.0606623	0.242398	0.976938	0.716915	0.0632533	0	ground	0	ground
60	38.068	0.19195	1.19822	0.861922	0.669513	1.67908	1.7331	0.968831	1.57185	0.773995	0.124451	0.00061456	0.139575	0.26075	0.977665	0.639595	0.30636	0	ground	0	ground
