dataset	stepIdx	gt	nSamples	trajAngle	aspectRatio	zRange	yRange	zDominance	netZ	netY	loopArea	rmsY	rmsZ
일반보행	1	ground	35	88.4657	2.0549	4.1536	2.3832	0.6354	3.6219	0.1215	1.4026	0.6818	1.6345
일반보행	2	ground	26	75.1159	2.1119	5.5558	3.7987	0.5939	-1.4293	-0.1503	12.6552	0.9579	2.1573
일반보행	3	ground	29	87.8690	3.0323	4.8026	2.1494	0.6908	-0.4049	0.4608	6.2193	0.8972	1.8362
일반보행	4	ground	27	83.0671	2.7134	7.8791	2.9050	0.7306	0.1520	0.3600	7.9090	0.8924	2.1874
일반보행	5	ground	34	74.8634	1.9284	9.3789	4.2611	0.6876	-0.3228	0.9737	6.9983	1.1819	2.1071
일반보행	6	ground	30	64.7931	3.3560	5.6971	3.2214	0.6388	0.2203	-2.3421	2.5871	0.9668	1.8967
일반보행	7	ground	58	1.9264	1.1797	3.1767	3.1762	0.5000	-0.7937	-0.4747	4.4289	0.9133	0.8930
일반보행	8	ground	26	51.0372	1.1976	3.0908	3.3644	0.4788	-0.0003	0.8005	5.1169	1.1005	1.0338
일반보행	9	ground	37	71.2752	2.3883	6.7808	3.7370	0.6447	1.2002	0.2986	10.6752	0.8309	1.5130
일반보행	10	ground	30	77.5123	2.7085	6.3505	3.3224	0.6565	-1.1014	-0.5304	11.4205	0.7541	1.8330
일반보행	11	ground	28	89.8782	2.0589	6.3965	2.3327	0.7328	-0.4485	1.0159	9.4151	0.8662	1.5776
일반보행	12	ground	30	73.7777	3.3003	4.9692	2.0702	0.7059	-0.0729	-1.1372	1.6722	0.5303	1.2803
일반보행	13	ground	28	86.2141	3.5700	7.7105	1.9545	0.7978	0.9850	0.5523	5.1499	0.6345	1.9635
일반보행	14	ground	26	79.8863	5.3679	5.8884	1.6878	0.7772	-1.0027	-0.6973	1.6010	0.5182	1.6190
일반보행	15	ground	29	88.2498	2.6949	5.4689	1.8166	0.7507	0.7820	1.0108	3.3154	0.5271	1.4205
일반보행	16	ground	26	70.6915	3.4597	4.4248	2.5410	0.6352	0.8642	-0.9639	3.5065	0.7172	1.5041
일반보행	17	ground	33	75.0072	1.8242	3.7288	2.6002	0.5892	-0.3116	0.5330	2.2850	0.6676	1.1084
일반보행	18	ground	26	84.3412	3.4816	3.7043	1.4295	0.7216	-0.9629	-0.2339	0.7778	0.4025	1.2669
일반보행	19	ground	33	89.0084	1.8692	5.1297	3.0646	0.6260	0.6343	1.0243	6.5525	0.7337	1.3281
일반보행	20	ground	27	71.6084	3.3046	4.6953	1.9670	0.7048	-0.2853	-1.1791	2.8990	0.6271	1.3084
일반보행	21	ground	30	82.0951	2.1789	4.7256	2.9886	0.6126	-0.2073	0.2535	5.2889	0.6847	1.3817
일반보행	22	ground	28	79.0570	3.8719	5.0489	2.0309	0.7131	0.4940	-0.2671	2.8633	0.5296	1.5064
일반보행	23	ground	30	87.9348	2.1096	4.7171	2.4485	0.6583	-1.1790	0.3729	4.4403	0.6458	1.3431
일반보행	24	ground	28	87.2578	2.6412	4.8371	2.3308	0.6748	1.4612	-1.2931	0.0799	0.5927	1.3275
