time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	stairVoteScore	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0	0.076	0.1001	0.0457	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	ground	0	ground	0	-1	0
0.02	0.2686	0.3709	0.4047	0.191637	0.269446	0.357205	0	0	0	0	0	0	99	0	0	0.0178603	0.0165322	0.00132802	ground	0	ground	0	-1	0
0.04	0.082	0.3647	1.2054	0.00501182	0.26193	1.15212	0	0	0	0	0	0	99	0	0	0.074573	0.0288045	0.0457685	ground	0	ground	0	-1	0
0.06	0.6716	-0.1353	1.7103	0.591639	-0.23688	1.64873	0	0	0	0	0	0	99	0	0	0.153281	0.0592292	0.0940517	ground	0	ground	0	-1	0
0.08	0.4289	0.0582	1.6731	0.347194	-0.043163	1.60347	0	0	0	0	0	0	99	0	0	0.22579	0.0737611	0.152029	ground	0	ground	0	-1	0
0.1	-0.0923	-0.5592	2.0667	-0.173136	-0.65726	1.98709	0	0	0	0	0	0	99	0	0	0.313855	0.104057	0.209798	ground	0	ground	0	-1	0
0.12	-0.0954	0.0297	2.4623	-0.175355	-0.0680184	2.37077	0	0	0	0	0	0	99	0	0	0.416701	0.108258	0.308443	ground	0	ground	0	-1	0
0.14	0.1409	-0.2382	2.4524	0.0606405	-0.334239	2.34907	0	0	0	0	0	0	99	0	0	0.51332	0.11983	0.393489	ground	0	ground	0	-1	0
0.16	-0.2514	-0.0559	2.4266	-0.330001	-0.151179	2.31165	0	0	0	0	0	0	99	0	0	0.603236	0.131988	0.471248	ground	0	ground	0	-1	0
0.18	0.3499	-0.5056	2.1066	0.269942	-0.597875	1.98169	0	0	0	0	0	0	99	0	0	0.672159	0.158188	0.513971	ground	0	ground	0	-1	0
0.2	0.1085	0.1215	2.0582	0.0283996	0.0290792	1.92363	0	0	0	0	0	0	99	0	0	0.734733	0.152311	0.582422	ground	0	ground	0	-1	0
0.22	0.0769	-0.509	1.6365	-0.00318436	-0.598414	1.49442	0	0	0	0	0	0	99	0	0	0.772717	0.174616	0.598101	ground	0	ground	0	-1	0
0.24	0.2061	0.0445	1.0458	0.125386	-0.0446891	0.8992	0	0	0	0	0	0	99	0	0	0.779041	0.172541	0.6065	ground	0	ground	0	-1	0
0.26	0.5168	-0.368	0.6684	0.433905	-0.454903	0.519191	0	0	0	0	0	0	99	0	0	0.766049	0.195347	0.570702	ground	0	ground	0	-1	0
0.28	0.0513	-0.2549	0.0073	-0.0314369	-0.340094	-0.141199	0	0	0	0	0	0	99	0	0	0.734806	0.202657	0.532149	ground	0	ground	0	-1	0
0.3	-0.0339	0.3464	-0.7506	-0.116054	0.2599	-0.894604	0	0	0	0	0	0	99	0	0	0.742796	0.206756	0.53604	ground	0	ground	0	-1	0
0.32	0.4526	0.1764	-1.0936	0.368594	0.0894503	-1.23142	0	0	0	0	0	0	99	0	0	0.767227	0.215383	0.551844	ground	0	ground	0	-1	0
