time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	stairVoteScore	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.02	0.625364	0.474683	1.88274	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	ground	0	ground	0	-1	0
0.03	1.46294	-1.01987	3.13865	0.833389	-1.48708	1.24963	0	0	0	0	0	0	99	0	0	0.0624817	0.0852343	-0.0227526	ground	0	ground	0	-1	0
0.044	1.85872	-2.0622	3.64088	1.22302	-2.51676	1.7431	0	0	0	0	0	0	99	0	0	0.146513	0.220882	-0.0743695	ground	0	ground	0	-1	0
0.064	1.73016	-1.59867	2.4295	1.08899	-2.04296	0.52906	0	0	0	0	0	0	99	0	0	0.16564	0.325592	-0.159952	ground	0	ground	0	-1	0
0.085	0.711524	-0.339831	0.337051	0.0700022	-0.780207	-1.55557	0	0	0	0	0	0	99	0	0	0.235136	0.34848	-0.113343	ground	0	ground	0	-1	0
0.104	0.311328	0.465462	-0.746611	-0.328543	0.0249602	-2.62603	0	0	0	0	0	0	99	0	0	0.354681	0.34753	0.00715106	ground	0	ground	0	-1	0
0.125	0.58787	0.048552	-0.726597	-0.0517409	-0.38999	-2.59299	0	0	0	0	0	0	99	0	0	0.466597	0.349824	0.116773	ground	0	ground	0	-1	0
0.144	0.747503	-0.935266	-0.703402	0.107353	-1.36694	-2.55695	0	0	0	0	0	0	99	0	0	0.571114	0.40089	0.170224	ground	0	ground	0	-1	0
0.164	0.738444	-1.44819	-1.2446	0.0978022	-1.87047	-3.08265	0	0	0	0	0	0	99	0	0	0.696691	0.474497	0.222194	ground	0	ground	0	-1	0
0.184	0.608717	-1.61728	-0.995323	-0.0317652	-2.02935	-2.81921	0	0	0	0	0	0	99	0	0	0.802817	0.552252	0.250565	ground	0	ground	0	-1	0
0.204	0.208695	-1.72954	-1.99036	-0.429628	-2.13091	-3.79518	0	0	0	0	0	0	99	0	0	0.952435	0.633329	0.319106	ground	0	ground	0	-1	0
0.224	-0.531743	-2.4691	-3.26851	-1.16422	-2.85612	-5.04796	0	0	0	0	0	0	99	0	0	1.15721	0.755877	0.401334	ground	0	ground	0	-1	0
0.244	-0.292353	-1.21401	-1.435	-0.920202	-1.59302	-3.19837	0	0	0	0	0	0	99	0	0	1.25927	0.810068	0.449202	ground	0	ground	0	-1	0
0.264	0.038983	-1.57979	-1.20799	-0.585921	-1.949	-2.95651	0	0	0	0	0	0	99	0	0	1.34413	0.871323	0.472809	ground	0	ground	0	-1	0
0.285	0.163909	-1.3712	-2.87359	-0.45869	-1.73172	-4.59899	0	0	0	0	0	0	99	0	0	1.50687	0.917328	0.589546	ground	0	ground	0	-1	0
0.304	0.113695	-0.084166	-2.64835	-0.50636	-0.442457	-4.35189	0	0	0	0	0	0	99	0	0	1.64913	0.905084	0.744042	ground	0	ground	0	-1	0
0.324	-0.848446	-0.480231	-0.891803	-1.46116	-0.834329	-2.58237	0	0	0	0	0	0	99	0	0	1.69579	0.943959	0.751829	ground	0	ground	0	-1	0
0.344	-0.16701	0.034391	1.94181	-0.775824	-0.318109	0.249995	0	0	0	0	0	0	99	0	0	1.6235	0.938686	0.684812	ground	0	ground	0	-1	0
0.364	0.783422	0.146119	1.35148	0.173735	-0.205349	-0.338639	0	0	0	0	0	0	99	0	0	1.55925	0.905201	0.654054	ground	0	ground	0	-1	0
0.384	-0.136645	1.03489	-1.28577	-0.7426	0.680001	-2.96101	0	0	0	0	0	0	99	0	0	1.62934	0.910286	0.719056	ground	0	ground	0	-1	0
0.405	-0.831274	1.49245	-0.44331	-1.43004	1.13188	-2.10796	0	0	0	0	0	0	99	0	0	1.65327	0.955961	0.697312	ground	0	ground	0	-1	0
0.425	1.03003	0.794273	-1.87705	0.429104	0.431532	-3.52399	0	0	0	0	0	0	99	0	0	1.74681	0.938591	0.808218	ground	0	ground	0	-1	0
0.444	-5.14022	-1.49917	0.362353	-5.71244	-1.85261	-1.27816	0	0	0	0	0	0	99	0	0	1.72338	1.19193	0.531448	ground	0	ground	0	-1	0
0.465	-1.0296	-2.20341	-1.38271	-1.59381	-2.54406	-3.00811	0	0	0	0	0	0	99	0	0	1.78761	1.28244	0.505177	ground	0	ground	0	-1	0
0.484	0.231046	-1.60713	0.588666	-0.331499	-1.93804	-1.03155	0	0	0	0	0	0	99	0	0	1.74981	1.31662	0.433187	ground	0	ground	0	-1	0
0.505	-0.574386	-0.296794	-0.652481	-1.13125	-0.624564	-2.26133	0	0	0	0	0	0	99	0	0	1.77539	1.3154	0.459984	ground	0	ground	0	-1	0
0.524	-1.24239	-0.633487	-0.217874	-1.79026	-0.956451	-1.81759	0	0	0	0	0	0	99	0	0	1.7775	1.35112	0.426377	ground	0	ground	0	-1	0
0.545	-0.15034	-0.667223	0.384861	-0.694713	-0.985236	-1.20878	0	0	0	0	0	0	99	0	0	1.74906	1.34384	0.405221	ground	0	ground	0	-1	0
0.565	0.084899	0.003511	-0.462406	-0.457176	-0.312929	-2.04577	0	0	0	0	0	0	99	0	0	1.7639	1.30435	0.459547	ground	0	ground	0	-1	0
0.598	2.5846	-2.04995	2.79572	2.03231	-2.35456	1.2063	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.73602	1.39465	0.341368	ground	0	ground	1	1	1
0.608	1.88619	-3.48435	2.27145	1.32724	-3.77001	0.678616	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.68315	1.52476	0.158389	ground	0	ground	0	-1	1
0.626	4.55114	-1.46964	2.87842	3.97222	-1.74653	1.27916	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.66295	1.66548	-0.00253341	ground	0	ground	0	-1	1
0.645	0.798127	-1.79853	1.81544	0.218113	-2.06504	0.215095	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.59055	1.68603	-0.0954782	ground	0	ground	0	-1	1
0.667	1.78576	-2.29383	1.58598	1.19972	-2.54754	-0.0142883	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.51174	1.74253	-0.230785	ground	0	ground	0	-1	1
0.685	2.19988	-0.199953	-0.477503	1.60577	-0.451393	-2.06739	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.53952	1.7388	-0.199276	ground	0	ground	0	-1	1
0.706	1.74483	-0.430238	-1.27293	1.14497	-0.67827	-2.84849	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.60497	1.7184	-0.113427	ground	0	ground	0	-1	1
0.726	0.869601	-2.24914	0.431274	0.268386	-2.48469	-1.13857	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.58165	1.75744	-0.175784	ground	0	ground	0	-1	1
0.746	1.86722	-2.37014	0.82748	1.25968	-2.59265	-0.738655	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.5395	1.81369	-0.274186	ground	0	ground	0	-1	1
0.765	1.91449	-2.43823	1.05881	1.30041	-2.64744	-0.504787	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.48777	1.87048	-0.382716	ground	0	ground	0	-1	1
0.786	1.43477	-2.30382	0.353352	0.81659	-2.50047	-1.2042	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.47359	1.90848	-0.434892	ground	0	ground	0	-1	1
0.806	0.877816	-2.0658	-0.046401	0.258335	-2.25114	-1.59593	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.4797	1.92635	-0.446647	ground	0	ground	0	-1	1
0.826	1.01359	-1.99258	0.149454	0.392138	-2.16702	-1.39307	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.47537	1.94014	-0.464772	ground	0	ground	0	-1	1
0.845	0.781031	-2.14814	0.475418	0.158782	-2.31097	-1.06177	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.45469	1.95896	-0.504265	ground	0	ground	0	-1	1
0.866	0.761718	-2.31881	0.420307	0.138771	-2.46923	-1.1113	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.43752	1.98467	-0.547144	ground	0	ground	0	-1	1
0.886	0.504718	-1.80534	-0.678265	-0.117638	-1.94598	-2.19882	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.47559	1.98291	-0.507322	ground	0	ground	0	-1	1
0.906	0.512546	-1.32917	-1.8881	-0.109261	-1.46247	-3.39161	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.57139	1.95709	-0.385703	ground	0	ground	0	-1	1
0.926	0.286068	-1.42641	-1.89763	-0.33406	-1.55191	-3.38414	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.66203	1.93861	-0.276583	ground	0	ground	0	-1	1
0.946	-0.052069	-1.36286	-1.67338	-0.668836	-1.48092	-3.14409	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.73613	1.92293	-0.186797	ground	0	ground	0	-1	1
0.966	-0.155825	-1.83943	-0.659621	-0.768729	-1.9477	-2.11968	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.75531	1.93148	-0.176169	ground	0	ground	0	-1	1
0.987	-0.129624	-1.49057	-0.690534	-0.738815	-1.59084	-2.13984	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.77453	1.9226	-0.14807	ground	0	ground	0	-1	1
1.006	-0.186515	-1.09032	-1.00592	-0.791728	-1.18464	-2.44295	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.80795	1.89772	-0.089762	ground	0	ground	0	-1	1
1.026	-0.765805	-0.980568	-0.649347	-1.36416	-1.06952	-2.07594	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.82135	1.8895	-0.0681486	ground	0	ground	0	-1	1
1.046	-0.953207	-0.685109	0.143127	-1.54381	-0.770187	-1.27705	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.79414	1.88129	-0.0871516	ground	0	ground	0	-1	1
1.066	-1.00331	-0.194779	0.127148	-1.58594	-0.278458	-1.28657	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.76876	1.86774	-0.0989759	ground	0	ground	0	-1	1
1.086	-0.632481	0.805176	-0.08638	-1.20904	0.71789	-1.49259	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.75495	1.84465	-0.0897027	ground	0	ground	0	-1	1
1.106	-0.436669	1.32971	0.314188	-1.00816	1.23621	-1.08657	0	0.62522	2.70526	4.16667	2.60509	0	99	0.525907	0.468244	1.72153	1.83218	-0.110648	ground	0	ground	0	-1	1
1.141	-0.58865	1.12055	0.527014	-1.15434	1.02192	-0.869371	0.3	1.11865	2.89657	1.61031	1.80138	3.96346	99	0.338019	0.192977	1.67892	1.81766	-0.138732	ground	0	ground	1	2	2
1.146	-0.616875	0.603771	0.836836	-1.17665	0.502612	-0.556751	0.3	1.11865	2.89657	1.61031	1.80138	3.96346	99	0.338019	0.192977	1.62282	1.79075	-0.167933	ground	0	ground	0	-1	2
1.165	-0.893922	0.011247	1.45537	-1.44643	-0.0894626	0.0614759	0.3	1.11865	2.89657	1.61031	1.80138	3.96346	99	0.338019	0.192977	1.54475	1.77367	-0.228922	ground	0	ground	0	-1	2
1.187	-0.864312	-0.747543	1.6764	-1.40973	-0.844011	0.281089	0.3	1.11865	2.89657	1.61031	1.80138	3.96346	99	0.338019	0.192977	1.48157	1.76714	-0.285575	ground	0	ground	0	-1	2
