time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	stairVoteScore	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0.01	0.714774	-0.112647	-1.44322	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	ground	0	ground	0	-1	0
0.031	0.877535	-0.885193	-0.579788	0.161947	-0.768683	0.85912	0	0	0	0	0	0	99	0	0	0.042956	0.0392779	0.00367811	ground	0	ground	0	-1	0
0.05	0.594439	-1.01149	0.291737	-0.120543	-0.890505	1.72199	0	0	0	0	0	0	99	0	0	0.126908	0.0822453	0.0446624	ground	0	ground	0	-1	0
0.07	0.314048	-0.499156	0.578683	-0.398929	-0.376281	1.99889	0	0	0	0	0	0	99	0	0	0.220507	0.105553	0.114954	ground	0	ground	0	-1	0
0.091	0.12808	-0.010277	0.679628	-0.581973	0.112035	2.08934	0	0	0	0	0	0	99	0	0	0.313949	0.129908	0.184041	ground	0	ground	0	-1	0
0.12	0.171455	0.33623	0.305144	-0.535905	0.45625	1.70628	0	0	0	0	0	0	99	0	0	0.383565	0.158603	0.224962	ground	0	ground	0	-1	0
0.132	0.430211	0.535183	0.075164	-0.275763	0.651927	1.46892	0	0	0	0	0	0	99	0	0	0.437833	0.186066	0.251767	ground	0	ground	0	-1	0
0.15	0.054253	0.634731	0.426658	-0.648463	0.747717	1.81131	0	0	0	0	0	0	99	0	0	0.506507	0.226249	0.280257	ground	0	ground	0	-1	0
0.17	-1.17685	0.333699	1.34747	-1.87017	0.444452	2.71846	0	0	0	0	0	0	99	0	0	0.617105	0.31105	0.306055	ground	0	ground	0	-1	0
0.191	-1.22005	0.07832	2.40605	-1.9038	0.188128	3.75816	0	0	0	0	0	0	99	0	0	0.774157	0.391151	0.383007	ground	0	ground	0	-1	0
0.211	-0.748429	0.066451	1.91478	-1.42502	0.175377	3.25055	0	0	0	0	0	0	99	0	0	0.897977	0.443382	0.454595	ground	0	ground	0	-1	0
0.23	-0.410157	0.223245	0.158176	-1.08131	0.33051	1.48648	0	0	0	0	0	0	99	0	0	0.927402	0.477747	0.449655	ground	0	ground	0	-1	0
0.251	-0.836843	0.342055	0.152131	-1.50046	0.447074	1.47303	0	0	0	0	0	0	99	0	0	0.954684	0.532143	0.422541	ground	0	ground	0	-1	0
0.271	-1.55339	0.587608	1.02739	-2.20592	0.689164	2.33655	0	0	0	0	0	0	99	0	0	1.02378	0.621089	0.402688	ground	0	ground	0	-1	0
0.291	-1.99258	0.968737	1.05339	-2.63188	1.06494	2.35073	0	0	0	0	0	0	99	0	0	1.09012	0.731993	0.358132	ground	0	ground	0	-1	0
0.31	-1.97162	1.06581	0.559119	-2.59787	1.1562	1.84718	0	0	0	0	0	0	99	0	0	1.12798	0.83757	0.290407	ground	0	ground	0	-1	0
0.331	-1.38579	0.863007	-0.439298	-2.00198	0.948634	0.844522	0	0	0	0	0	0	99	0	0	1.1138	0.90646	0.207345	ground	0	ground	0	-1	0
0.352	-0.984087	1.09916	-1.47151	-1.59228	1.17887	-0.186755	0	0	0	0	0	0	99	0	0	1.06745	0.960196	0.107257	ground	0	ground	0	-1	0
0.37	-0.980467	1.4073	-1.62622	-1.58071	1.47957	-0.339758	0	0	0	0	0	0	99	0	0	1.03107	1.02044	0.0106254	ground	0	ground	0	-1	0
0.391	-0.985764	1.06584	-1.68391	-1.57808	1.13242	-0.395453	0	0	0	0	0	0	99	0	0	0.999287	1.06654	-0.0672506	ground	0	ground	0	-1	0
0.411	-0.764353	0.34608	-1.55413	-1.34989	0.410594	-0.264352	0	0	0	0	0	0	99	0	0	0.96254	1.08376	-0.121218	ground	0	ground	0	-1	0
0.431	-1.00348	0.069813	-1.31605	-1.58107	0.133656	-0.0261399	0	0	0	0	0	0	99	0	0	0.91572	1.10891	-0.193185	ground	0	ground	0	-1	0
0.451	-1.02804	0.282984	-1.62025	-1.5976	0.345093	-0.328687	0	0	0	0	0	0	99	0	0	0.886369	1.13518	-0.248814	ground	0	ground	0	-1	0
0.47	-0.674928	0.439149	-1.56112	-1.23827	0.498751	-0.268207	0	0	0	0	0	0	99	0	0	0.85546	1.14517	-0.28971	ground	0	ground	0	-1	0
0.491	-0.410808	0.109872	-1.35581	-0.969274	0.168627	-0.0625849	0	0	0	0	0	0	99	0	0	0.815817	1.1371	-0.321287	ground	0	ground	0	-1	0
0.512	-0.211051	-0.175018	-1.34671	-0.76567	-0.115682	-0.0532105	0	0	0	0	0	0	99	0	0	0.777686	1.11897	-0.34128	ground	0	ground	0	-1	0
