time_s	globalX	globalY	globalZ	pureX	pureY	pureZ	stairVoteScore	rmsZdivFreq	stepVarH	stepFreqHz	procRmsZ	dmag	recentStepVarYZ	energyFracZ	zPeakYRatio	envZ	envH	stairScore	fsmLabel	armSpin	floorGT	isStep	stepIdx	totalSteps
0	-0.638247	-0.781934	1.79713	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	ground	0	ground	0	-1	0
0.001	-1.15478	-0.204931	1.76551	-0.513947	0.574118	-0.0314609	0	0	0	0	0	0	99	0	0	0.00157305	0.0385277	-0.0369547	ground	0	ground	0	-1	0
0.004	-0.993394	0.103982	0.663252	-0.350802	0.878616	-1.12805	0	0	0	0	0	0	99	0	0	0.0578968	0.0839043	-0.0260074	ground	0	ground	0	-1	0
0.024	-0.214463	-0.151674	0.50481	0.425989	0.619845	-1.28006	0	0	0	0	0	0	99	0	0	0.119005	0.117315	0.00169016	ground	0	ground	0	-1	0
0.043	-0.56666	-0.087779	1.24032	0.0734229	0.680321	-0.541824	0	0	0	0	0	0	99	0	0	0.140146	0.145663	-0.00551674	ground	0	ground	0	-1	0
0.062	-0.80296	0.352563	0.973828	-0.162063	1.11506	-0.804276	0	0	0	0	0	0	99	0	0	0.173352	0.194718	-0.0213659	ground	0	ground	0	-1	0
0.081	-0.45971	0.348465	0.57473	0.180281	1.10541	-1.19736	0	0	0	0	0	0	99	0	0	0.224553	0.240983	-0.0164304	ground	0	ground	0	-1	0
0.101	0.728427	0.029008	-0.294268	1.36158	0.78202	-2.05602	0	0	0	0	0	0	99	0	0	0.316126	0.307442	0.00868361	ground	0	ground	0	-1	0
0.12	1.15143	0.066106	-0.762756	1.77565	0.815023	-2.51189	0	0	0	0	0	0	99	0	0	0.425914	0.389759	0.0361554	ground	0	ground	0	-1	0
0.14	0.404539	0.314524	-0.302728	1.02362	1.05812	-2.0416	0	0	0	0	0	0	99	0	0	0.506699	0.443882	0.0628168	ground	0	ground	0	-1	0
0.158	-0.389984	0.38166	0.439646	0.227953	1.11963	-1.29273	0	0	0	0	0	0	99	0	0	0.546	0.478818	0.0671824	ground	0	ground	0	-1	0
0.178	-0.572426	0.234779	0.742976	0.0452835	0.967889	-0.984454	0	0	0	0	0	0	99	0	0	0.567923	0.503324	0.0645986	ground	0	ground	0	-1	0
0.198	0.065202	0.003025	-0.00353	0.679497	0.732454	-1.72231	0	0	0	0	0	0	99	0	0	0.625642	0.528113	0.0975288	ground	0	ground	0	-1	0
0.217	0.522878	0.052323	0.264625	1.13149	0.777843	-1.44688	0	0	0	0	0	0	99	0	0	0.666704	0.570361	0.0963432	ground	0	ground	0	-1	0
0.236	0.372269	-0.068043	0.123553	0.975974	0.65419	-1.58001	0	0	0	0	0	0	99	0	0	0.712369	0.60059	0.111779	ground	0	ground	0	-1	0
0.255	0.469228	-0.22688	-0.678781	1.06757	0.492876	-2.37043	0	0	0	0	0	0	99	0	0	0.795272	0.629353	0.16592	ground	0	ground	0	-1	0
0.274	0.542036	-0.023568	-0.990049	1.13467	0.692707	-2.66829	0	0	0	0	0	0	99	0	0	0.888923	0.664356	0.224568	ground	0	ground	0	-1	0
0.294	0.098568	0.329453	0.572184	0.68775	1.0405	-1.10053	0	0	0	0	0	0	99	0	0	0.899504	0.6935	0.206003	ground	0	ground	0	-1	0
0.312	-0.839939	0.748162	1.30775	-0.249503	1.45191	-0.363143	0	0	0	0	0	0	99	0	0	0.872686	0.732485	0.140201	ground	0	ground	0	-1	0
0.332	-0.543239	0.431651	0.600013	0.0469609	1.12972	-1.06552	0	0	0	0	0	0	99	0	0	0.882328	0.752396	0.129932	ground	0	ground	0	-1	0
0.351	1.01183	-0.406153	-0.714543	1.59402	0.290461	-2.36818	0	0	0	0	0	0	99	0	0	0.95662	0.79579	0.160831	ground	0	ground	0	-1	0
