dataset	step	gt	start_pY	start_pZ	rangeY	rangeZ	aspect	zFrac	area	path_len	meanZ_offset	maxZ_offset	angle_deg	quadrant	n_samples
일반보행	1	ground	0.00260019	3.62186	3.8112000000000004	5.55579	1.457753080984183	0.7826710078639085	12.26586627587995	26.284867275583853	-2.3611834769230766	0.7606299999999999	-95.45555720004127	1	26
일반보행	2	ground	-0.0392571	2.19257	2.197099	4.80255	2.1858586318328705	0.9003062991537857	6.666521987251699	18.321225169895442	-1.3129814137931035	1.3626200000000002	-61.19492943827517	2	29
일반보행	3	ground	0.335841	1.78769	2.945457	7.879059999999999	2.674986368843147	0.8766268571304742	7.4549584265884015	26.238442221259344	-0.758424037037037	3.9400299999999997	-83.92303471624142	1	27
일반보행	4	ground	0.786235	1.93968	4.2132	9.3789	2.2260746638956936	0.7502912910515611	6.366742864683897	50.691029917997966	-1.3157301914705883	1.5721699999999998	-118.04728474111737	1	34
일반보행	5	ground	1.68093	1.61687	3.21421	5.69711	1.772475422428708	0.7828729358512354	2.3353229738109	19.917330020061325	-0.8687960666666666	2.129	-146.22024817036686	1	30
일반보행	6	ground	-0.372876	1.8372	3.0757369999999997	3.176717	1.0328308197902423	0.48536017294876094	3.7161239170963003	23.41048618182575	-1.3050462189655172	0.7494099999999999	-59.40172815113274	2	58
일반보행	7	ground	-0.38775	1.04348	2.192458	3.09077	1.4097276163431107	0.6708835057320909	1.4858179476996995	11.49393374522627	-0.4101723153846154	0.6784700000000001	-137.43460305311973	2	26
일반보행	8	ground	0.122503	1.04315	2.025295	6.780810000000001	3.3480587528934045	0.8898359678727024	1.3503699052248053	23.991204713707198	-0.9007144378378379	3.1490800000000005	-65.60865685776903	1	37
일반보행	9	ground	-0.654216	2.24333	2.891275	6.3505	2.1964350688069905	0.8422738996621214	6.934501154346999	19.020511954926445	-1.7172343999999997	1.9748000000000006	-74.07047923355492	2	30
일반보행	10	ground	0.629697	1.1419	2.99769	6.3965	2.1338089883180085	0.784814225158004	6.266333331947549	22.938741064612362	-0.8486513107142857	2.90597	-113.99671379621476	1	28
일반보행	11	ground	0.565414	0.693403	4.60051	4.96919	1.0801387063306664	0.5122023352146259	6.868653179417398	19.36108311010244	-0.5076876966666667	2.299577	-151.08315401525368	1	30
일반보행	12	ground	0.817827	0.620515	4.10159	7.71047	1.8798729566161034	0.804605665595608	6.008069583899066	23.73298811988387	-0.426433375	4.350485	-159.557824606629	1	28
일반보행	13	ground	-0.419416	1.60549	4.563969999999999	5.88844	1.2902010113561195	0.6385493206001983	6.232593445723879	17.24267674613036	-1.266578923076923	2.15964	-94.45011639928904	2	26
