dataset	step	gt	n	rangeY	rangeZ	aspect_ratio	bbox_area	first_angle	first_dist	second_angle	second_dist	turn_angle	net_angle	net_dist	rotation	signed_area	principal_angle	elongation	path_symmetry	z_energy_shift	complexity	rise_fall_ratio	max_z_pos	min_z_pos	z_peak_first	y_crossings	z_crossings	early_z	mid_z	late_z	early_y	mid_y	late_y
일반보행	1	ground	25	3.8112000000000004	5.55579	1.4577534630935784	21.174226848000004	-106.86522027216125	2.174066899920832	35.59252100638986	1.138558143618937	142.4577412785511	-78.2429435494999	1.448284450339696	CW	-12.618219378985655	76.77497934001623	4.372020036257892	2.6793249096876233	0.6333383574316221	3.851316193027783	0.2515360843099596	0.20833333333333334	0.6666666666666666	True	2	4	2.754538375	0.777912375	0.2583792888888889	0.80453583625	-0.719034375	-0.7155946
일반보행	2	ground	28	2.197099	4.80255	2.1858596257219816	10.551677802450001	-67.67215821487346	2.8713627946442797	97.11523355202633	1.5989061117057501	164.7873917668998	-50.145254599049956	1.3931609050872802	CW	-6.490996071489738	87.09104738044229	9.278332538718699	2.0816847508382215	0.40206947495702783	3.309583167251687	0.5329986105165848	0.2962962962962963	0.7777777777777778	True	5	2	2.890791111111111	-0.18741155555555555	-0.061003699999999994	0.7449244333333334	1.118078	0.26957811
일반보행	3	ground	26	2.945457	7.879059999999999	2.6749872761086007	23.20743243042	-133.30358851711813	1.6337890739315157	25.282022790608845	3.112192388330934	158.58561130772696	4.73178029097595	1.6993306849818846	CW	-7.8515542177986735	85.90136696520953	7.380574632266533	1.837047808373528	0.8192216141279147	2.971514349135804	0.5368333256063037	0.28	0.72	True	7	2	2.94226625	0.5773265555555556	-0.32039644444444443	0.38332291749999997	0.06195993333333332	0.7597034444444444
일반보행	4	ground	33	4.2132	9.3789	2.2260751917245623	39.515181479999995	-80.41470281106417	5.550136569195843	83.92226845577515	5.99314646101695	164.33697126683933	17.34426032610023	1.6329750768842124	CCW	6.964226242752524	-74.0455449874321	4.1565757791903755	0.8379533601746494	0.4634329989285624	4.828344056754897	0.2235522381143978	0.28125	0.46875	True	8	6	2.299370909090909	-0.6088784545454545	0.09109149909090906	-0.32517717272727276	0.5684134545454546	-0.1325313636363636
일반보행	5	ground	29	3.21421	5.69711	1.7724759733270459	18.311707933100003	-159.96894599561455	2.415319667709432	62.063307961626606	1.344067892609596	-137.96774604275885	167.6117295531579	1.6786042549689908	CCW	1.272746584613935	65.15256159084679	15.649225273917326	0.8591161538601257	1.0107111140917118	2.9780297246351264	0.2419969278407856	0.21428571428571427	0.8571428571428571	True	3	4	2.7275922222222224	0.33001880000000006	-0.72435	1.5054742222222222	0.15356352	-0.32476689999999997
일반보행	6	ground	57	3.0757369999999997	3.176717	1.0328311552539013	9.770746015429	-55.16336781806479	2.5941460841926385	145.75233297110827	1.8147266113527953	-159.08429921082694	-90.94109109699107	1.1081074721181154	CW	-3.4296142547003194	28.669958137017925	1.0919017300479334	2.0077792506951178	0.6394406611862573	5.223348062627976	0.42836691776291974	0.23214285714285715	0.625	True	6	10	1.1703192105263158	0.19452241578947368	0.2047078105263158	0.5760195842105262	0.8173740526315789	-0.15537326315789474
일반보행	7	ground	25	2.192458	3.09077	1.4097282586896862	6.7763834126599995	-171.85894586314603	1.6151265286227576	19.107920751640606	1.5318810264119729	-169.03313338521338	119.03016225920389	0.3119294543642841	CCW	1.9199385376991802	-82.07566574131936	2.356328026475565	0.5101866336358849	4.775987577280352	2.844277908842668	13.463981822187641	0.9166666666666666	0.75	False	4	2	1.152970875	0.6108237125	0.1458325666666667	-0.6775655	-1.52361825	-0.4673483333333333
일반보행	8	ground	36	2.025295	6.780810000000001	3.3480604043618043	13.73314058895	24.86694501858732	0.5136589854134745	177.0753071592885	0.5070227172043577	152.20836214070118	99.46569492896323	0.24520870166388878	CCW	0.7679714080871304	-76.9995714024457	16.735911414736695	1.1383552218929682	0.8237065812369807	3.2193384624976584	0.6404689728074874	0.45714285714285713	0.8285714285714286	True	8	4	0.33129417499999997	1.0328984166666666	-1.1119604416666666	0.5571114166666666	0.5021018333333334	0.6323115
일반보행	9	ground	29	2.891275	6.3505	2.1964358277242964	18.3610418875	-86.87200653041893	3.424141527731586	71.25000364269415	2.5458266379785175	158.1220101731131	-45.089550681976945	1.423756293165723	CCW	7.280170994894138	-78.29444019714305	7.187274764467213	1.6127698762956153	0.6655239048633911	2.683782236451289	0.4564686828980856	0.32142857142857145	0.75	True	3	2	2.1881166666666667	0.18587780000000004	-0.6910860000000001	-0.11395111111111111	-0.9190590999999999	0.4663688
일반보행	10	ground	27	2.99769	6.3965	2.1338096994239533	19.174724084999998	-107.19789737984986	1.8135795693465588	76.4995204933276	1.6830696362929403	-176.30258212682253	-146.20175155393312	0.17245216079829198	CCW	6.384980084978783	-74.81225712433896	4.907789493686008	1.7139822603411785	0.591201169388368	3.196084482759398	0.41398748884407555	0.3076923076923077	0.7692307692307693	True	6	2	1.90676	-0.35203418888888893	-0.7194413333333334	0.17815956666666669	-0.1838056111111111	0.7265466666666667
