스텝#	시간(s)	ampZ	fourthRoot	correctedRoot	freq(Hz)	kf	scaleFactor	L0	pocketScale	Lscaled	minStride	maxStride	Lfinal	Lsmoothed	profile
1	14.384	3.3149	1.3493	1.3493	0.0000	0.3170	1.00	0.4277	1.0000	0.4277	0.25	1.40	0.4277	0.4200	OnHand
2	14.999	3.9483	1.4096	1.4096	1.6234	0.4050	1.00	0.5710	1.0000	0.5710	0.25	1.40	0.5710	0.5700	OnHand
3	15.740	4.5176	1.4579	1.4461	1.3495	0.3731	1.00	0.5395	1.0000	0.5395	0.25	1.40	0.5395	0.5100	OnHand
4	16.142	4.8365	1.4830	1.4536	2.4876	0.5439	1.00	0.7907	1.0000	0.7907	0.25	1.40	0.7907	0.5800	OnHand
5	16.799	5.0396	1.4983	1.4582	1.5221	0.3922	1.00	0.5719	1.0000	0.5719	0.25	1.40	0.5719	0.5800	OnHand
6	17.244	5.1633	1.5074	1.4609	2.2472	0.5031	1.00	0.7350	1.0000	0.7350	0.25	1.40	0.7350	0.6400	OnHand
7	17.944	5.1633	1.5074	1.4609	1.4286	0.3814	1.00	0.5573	1.0000	0.5573	0.25	1.40	0.5573	0.6300	OnHand
8	18.347	5.1633	1.5074	1.4609	2.4814	0.5429	1.00	0.7932	1.0000	0.7932	0.25	1.40	0.7932	0.6800	OnHand
9	19.089	5.1633	1.5074	1.4609	1.3459	0.3727	1.00	0.5446	1.0000	0.5446	0.25	1.40	0.5446	0.6400	OnHand
10	19.704	5.1633	1.5074	1.4609	1.6287	0.4057	1.00	0.5928	1.0000	0.5928	0.25	1.40	0.5928	0.6400	OnHand
11	20.212	5.1633	1.5074	1.4609	1.9685	0.4563	1.00	0.6666	1.0000	0.6666	0.25	1.40	0.6666	0.6300	OnHand
12	20.636	5.3592	1.5215	1.4652	2.3585	0.5222	1.00	0.7650	1.0000	0.7650	0.25	1.40	0.7650	0.6700	OnHand
13	21.336	5.3592	1.5215	1.4652	1.4286	0.3814	1.00	0.5589	1.0000	0.5589	0.25	1.40	0.5589	0.6200	OnHand
14	21.781	5.3592	1.5215	1.4652	2.2472	0.5031	1.00	0.7372	1.0000	0.7372	0.25	1.40	0.7372	0.6600	OnHand
15	22.480	5.3592	1.5215	1.4652	1.4286	0.3814	1.00	0.5589	1.0000	0.5589	0.25	1.40	0.5589	0.6500	OnHand
16	23.119	5.3592	1.5215	1.4652	1.5699	0.3981	1.00	0.5833	1.0000	0.5833	0.25	1.40	0.5833	0.6400	OnHand
17	23.606	5.3592	1.5215	1.4652	2.0492	0.4696	1.00	0.6880	1.0000	0.6880	0.25	1.40	0.6880	0.6200	OnHand
18	24.685	5.3592	1.5215	1.4652	0.9268	0.3405	1.00	0.4989	1.0000	0.4989	0.25	1.40	0.4989	0.6100	OnHand
19	25.088	5.3592	1.5215	1.4652	2.4814	0.5429	1.00	0.7954	1.0000	0.7954	0.25	1.40	0.7954	0.6200	OnHand
20	25.766	5.3592	1.5215	1.4652	1.4728	0.3864	1.00	0.5662	1.0000	0.5662	0.25	1.40	0.5662	0.6200	OnHand
21	26.404	5.3592	1.5215	1.4652	1.5748	0.3988	1.00	0.5842	1.0000	0.5842	0.25	1.40	0.5842	0.6200	OnHand
22	26.912	5.3592	1.5215	1.4652	1.9646	0.4557	1.00	0.6676	1.0000	0.6676	0.25	1.40	0.6676	0.6200	OnHand
23	27.526	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.6400	OnHand
24	28.013	5.3592	1.5215	1.4652	2.0534	0.4703	1.00	0.6890	1.0000	0.6890	0.25	1.40	0.6890	0.6200	OnHand
25	28.629	5.3592	1.5215	1.4652	1.6234	0.4050	1.00	0.5935	1.0000	0.5935	0.25	1.40	0.5935	0.6200	OnHand
26	29.139	5.3592	1.5215	1.4652	1.9646	0.4557	1.00	0.6676	1.0000	0.6676	0.25	1.40	0.6676	0.6400	OnHand
27	29.774	5.3592	1.5215	1.4652	1.5748	0.3988	1.00	0.5842	1.0000	0.5842	0.25	1.40	0.5842	0.6200	OnHand
28	30.239	5.3592	1.5215	1.4652	2.1413	0.4851	1.00	0.7107	1.0000	0.7107	0.25	1.40	0.7107	0.6400	OnHand
29	30.707	5.3592	1.5215	1.4652	2.1459	0.4858	1.00	0.7118	1.0000	0.7118	0.25	1.40	0.7118	0.6500	OnHand
30	31.384	5.3592	1.5215	1.4652	1.4749	0.3867	1.00	0.5665	1.0000	0.5665	0.25	1.40	0.5665	0.6400	OnHand
31	31.808	5.3592	1.5215	1.4652	2.3585	0.5222	1.00	0.7650	1.0000	0.7650	0.25	1.40	0.7650	0.6600	OnHand
32	32.485	5.3592	1.5215	1.4652	1.4749	0.3867	1.00	0.5665	1.0000	0.5665	0.25	1.40	0.5665	0.6600	OnHand
33	32.953	5.3592	1.5215	1.4652	2.1413	0.4851	1.00	0.7107	1.0000	0.7107	0.25	1.40	0.7107	0.6600	OnHand
34	33.695	5.3592	1.5215	1.4652	1.3477	0.3729	1.00	0.5464	1.0000	0.5464	0.25	1.40	0.5464	0.6300	OnHand
35	34.161	5.3592	1.5215	1.4652	2.1459	0.4858	1.00	0.7118	1.0000	0.7118	0.25	1.40	0.7118	0.6600	OnHand
36	34.904	5.3592	1.5215	1.4652	1.3477	0.3729	1.00	0.5464	1.0000	0.5464	0.25	1.40	0.5464	0.6100	OnHand
37	35.518	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.6200	OnHand
38	36.683	5.3592	1.5215	1.4652	0.8576	0.3369	1.00	0.4936	1.0000	0.4936	0.25	1.40	0.4936	0.5700	OnHand
39	37.170	5.3592	1.5215	1.4652	2.0534	0.4703	1.00	0.6890	1.0000	0.6890	0.25	1.40	0.6890	0.6000	OnHand
40	37.785	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.5800	OnHand
41	38.293	5.3592	1.5215	1.4652	1.9685	0.4563	1.00	0.6686	1.0000	0.6686	0.25	1.40	0.6686	0.6000	OnHand
42	38.909	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.6000	OnHand
43	39.399	5.3592	1.5215	1.4652	2.0408	0.4682	1.00	0.6860	1.0000	0.6860	0.25	1.40	0.6860	0.6400	OnHand
44	39.992	5.3592	1.5215	1.4652	1.6892	0.4140	1.00	0.6065	1.0000	0.6065	0.25	1.40	0.6065	0.6200	OnHand
45	40.500	5.3592	1.5215	1.4652	1.9646	0.4557	1.00	0.6676	1.0000	0.6676	0.25	1.40	0.6676	0.6400	OnHand
46	41.073	5.3592	1.5215	1.4652	1.7452	0.4219	1.00	0.6182	1.0000	0.6182	0.25	1.40	0.6182	0.6300	OnHand
47	41.624	5.3592	1.5215	1.4652	1.8182	0.4327	1.00	0.6340	1.0000	0.6340	0.25	1.40	0.6340	0.6400	OnHand
48	42.196	5.3592	1.5215	1.4652	1.7452	0.4219	1.00	0.6182	1.0000	0.6182	0.25	1.40	0.6182	0.6200	OnHand
49	42.732	5.3592	1.5215	1.4652	1.8622	0.4394	1.00	0.6439	1.0000	0.6439	0.25	1.40	0.6439	0.6300	OnHand
50	43.300	5.3592	1.5215	1.4652	1.7637	0.4246	1.00	0.6221	1.0000	0.6221	0.25	1.40	0.6221	0.6200	OnHand
51	43.805	5.3592	1.5215	1.4652	1.9763	0.4576	1.00	0.6704	1.0000	0.6704	0.25	1.40	0.6704	0.6300	OnHand
52	44.378	5.3592	1.5215	1.4652	1.7452	0.4219	1.00	0.6182	1.0000	0.6182	0.25	1.40	0.6182	0.6300	OnHand
53	44.867	5.3592	1.5215	1.4652	2.0534	0.4703	1.00	0.6890	1.0000	0.6890	0.25	1.40	0.6890	0.6400	OnHand
54	45.419	5.3592	1.5215	1.4652	1.8083	0.4312	1.00	0.6318	1.0000	0.6318	0.25	1.40	0.6318	0.6400	OnHand
55	45.930	5.3592	1.5215	1.4652	1.9531	0.4538	1.00	0.6649	1.0000	0.6649	0.25	1.40	0.6649	0.6500	OnHand
56	46.521	5.3592	1.5215	1.4652	1.6978	0.4152	1.00	0.6083	1.0000	0.6083	0.25	1.40	0.6083	0.6400	OnHand
57	47.029	5.3592	1.5215	1.4652	1.9646	0.4557	1.00	0.6676	1.0000	0.6676	0.25	1.40	0.6676	0.6500	OnHand
58	47.624	5.3592	1.5215	1.4652	1.6835	0.4132	1.00	0.6054	1.0000	0.6054	0.25	1.40	0.6054	0.6300	OnHand
59	48.109	5.3592	1.5215	1.4652	2.0534	0.4703	1.00	0.6890	1.0000	0.6890	0.25	1.40	0.6890	0.6400	OnHand
60	48.723	5.3592	1.5215	1.4652	1.6287	0.4057	1.00	0.5945	1.0000	0.5945	0.25	1.40	0.5945	0.6300	OnHand
61	49.211	5.3592	1.5215	1.4652	2.0492	0.4696	1.00	0.6880	1.0000	0.6880	0.25	1.40	0.6880	0.6400	OnHand
62	49.763	5.3592	1.5215	1.4652	1.8149	0.4322	1.00	0.6333	1.0000	0.6333	0.25	1.40	0.6333	0.6400	OnHand
63	50.293	5.3592	1.5215	1.4652	1.8868	0.4433	1.00	0.6495	1.0000	0.6495	0.25	1.40	0.6495	0.6500	OnHand
64	50.908	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.6300	OnHand
65	51.417	5.3592	1.5215	1.4652	1.9685	0.4563	1.00	0.6686	1.0000	0.6686	0.25	1.40	0.6686	0.6400	OnHand
66	52.032	5.3592	1.5215	1.4652	1.6234	0.4050	1.00	0.5935	1.0000	0.5935	0.25	1.40	0.5935	0.6200	OnHand
67	52.562	5.3592	1.5215	1.4652	1.8832	0.4427	1.00	0.6486	1.0000	0.6486	0.25	1.40	0.6486	0.6300	OnHand
68	53.155	5.3592	1.5215	1.4652	1.6892	0.4140	1.00	0.6065	1.0000	0.6065	0.25	1.40	0.6065	0.6200	OnHand
69	53.664	5.3592	1.5215	1.4652	1.9646	0.4557	1.00	0.6676	1.0000	0.6676	0.25	1.40	0.6676	0.6300	OnHand
70	54.088	5.3592	1.5215	1.4652	2.3585	0.5222	1.00	0.7650	1.0000	0.7650	0.25	1.40	0.7650	0.6500	OnHand
71	54.787	5.3592	1.5215	1.4652	1.4306	0.3817	1.00	0.5592	1.0000	0.5592	0.25	1.40	0.5592	0.6400	OnHand
72	55.189	5.3592	1.5215	1.4652	2.4814	0.5429	1.00	0.7954	1.0000	0.7954	0.25	1.40	0.7954	0.6700	OnHand
73	55.931	5.3592	1.5215	1.4652	1.3477	0.3729	1.00	0.5464	1.0000	0.5464	0.25	1.40	0.5464	0.6600	OnHand
74	56.567	5.3592	1.5215	1.4652	1.5723	0.3984	1.00	0.5838	1.0000	0.5838	0.25	1.40	0.5838	0.6400	OnHand
75	57.076	5.3592	1.5215	1.4652	1.9685	0.4563	1.00	0.6686	1.0000	0.6686	0.25	1.40	0.6686	0.6300	OnHand
76	57.711	5.3592	1.5215	1.4652	1.5723	0.3984	1.00	0.5838	1.0000	0.5838	0.25	1.40	0.5838	0.6300	OnHand
77	58.223	5.3592	1.5215	1.4652	1.9608	0.4551	1.00	0.6667	1.0000	0.6667	0.25	1.40	0.6667	0.6000	OnHand
78	58.815	5.3592	1.5215	1.4652	1.6863	0.4136	1.00	0.6060	1.0000	0.6060	0.25	1.40	0.6060	0.6200	OnHand
79	59.366	5.3592	1.5215	1.4652	1.8149	0.4322	1.00	0.6333	1.0000	0.6333	0.25	1.40	0.6333	0.6300	OnHand
80	60.510	5.3592	1.5215	1.4652	0.8741	0.3377	1.00	0.4948	1.0000	0.4948	0.25	1.40	0.4948	0.5900	OnHand
81	61.126	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.5900	OnHand
82	61.634	5.3592	1.5215	1.4652	1.9646	0.4557	1.00	0.6676	1.0000	0.6676	0.25	1.40	0.6676	0.5900	OnHand
83	62.270	5.3592	1.5215	1.4652	1.5723	0.3984	1.00	0.5838	1.0000	0.5838	0.25	1.40	0.5838	0.5900	OnHand
84	62.736	5.3592	1.5215	1.4652	2.1459	0.4858	1.00	0.7118	1.0000	0.7118	0.25	1.40	0.7118	0.6100	OnHand
85	63.393	5.3592	1.5215	1.4652	1.5221	0.3922	1.00	0.5747	1.0000	0.5747	0.25	1.40	0.5747	0.6200	OnHand
86	64.539	5.3592	1.5215	1.4652	0.8726	0.3377	1.00	0.4947	1.0000	0.4947	0.25	1.40	0.4947	0.6000	OnHand
87	65.068	5.3592	1.5215	1.4652	1.8904	0.4438	1.00	0.6503	1.0000	0.6503	0.25	1.40	0.6503	0.6000	OnHand
88	65.471	5.3592	1.5215	1.4652	2.4814	0.5429	1.00	0.7954	1.0000	0.7954	0.25	1.40	0.7954	0.6400	OnHand
89	66.065	5.3592	1.5215	1.4652	1.6863	0.4136	1.00	0.6060	1.0000	0.6060	0.25	1.40	0.6060	0.6200	OnHand
90	66.660	5.3592	1.5215	1.4652	1.6779	0.4124	1.00	0.6042	1.0000	0.6042	0.25	1.40	0.6042	0.6300	OnHand
91	68.799	5.3592	1.5215	1.4652	0.4675	0.3235	1.00	0.4739	1.0000	0.4739	0.25	1.40	0.4739	0.6200	OnHand
92	69.435	5.3592	1.5215	1.4652	1.5723	0.3984	1.00	0.5838	1.0000	0.5838	0.25	1.40	0.5838	0.6100	OnHand
93	69.970	5.3592	1.5215	1.4652	1.8657	0.4400	1.00	0.6446	1.0000	0.6446	0.25	1.40	0.6446	0.5800	OnHand
94	70.559	5.3592	1.5215	1.4652	1.7007	0.4156	1.00	0.6089	1.0000	0.6089	0.25	1.40	0.6089	0.5800	OnHand
95	71.067	5.3592	1.5215	1.4652	1.9685	0.4563	1.00	0.6686	1.0000	0.6686	0.25	1.40	0.6686	0.5900	OnHand
96	71.682	5.3592	1.5215	1.4652	1.6287	0.4057	1.00	0.5945	1.0000	0.5945	0.25	1.40	0.5945	0.6200	OnHand
97	72.210	5.3592	1.5215	1.4652	1.8868	0.4433	1.00	0.6495	1.0000	0.6495	0.25	1.40	0.6495	0.6300	OnHand
98	72.804	5.3592	1.5215	1.4652	1.6835	0.4132	1.00	0.6054	1.0000	0.6054	0.25	1.40	0.6054	0.6200	OnHand
99	73.336	5.3592	1.5215	1.4652	1.8868	0.4433	1.00	0.6495	1.0000	0.6495	0.25	1.40	0.6495	0.6300	OnHand
100	73.927	5.3592	1.5215	1.4652	1.6863	0.4136	1.00	0.6060	1.0000	0.6060	0.25	1.40	0.6060	0.6200	OnHand
101	74.479	5.3592	1.5215	1.4652	1.8116	0.4317	1.00	0.6325	1.0000	0.6325	0.25	1.40	0.6325	0.6200	OnHand
102	75.095	5.3592	1.5215	1.4652	1.6260	0.4054	1.00	0.5940	1.0000	0.5940	0.25	1.40	0.5940	0.6100	OnHand
